source,relation,target
1,,2
1,return,2
1,drop,2
3,occur,4
5,drop,2
6,save,7
8,follow,9
10,follow,11
12,hear,13
8,move,13
12,check,13
14,accompany,11
15,arrive,13
8,move,13
15,check,13
14,accompany,16
6,save,17
18,transport,19
6,save,7
20,hit,21
20,,22
6,save,7
6,save,7
23,,24
6,save,7
25,ascend,26
3,occur,27
6,save,7
28,make,29
30,involve,31
25,squeeze,32
33,,34
6,save,7
30,leave,35
6,save,7
36,hit,37
6,save,7
38,collect,39
40,,41
6,save,7
42,contact,43
6,save,7
44,set,45
46,grab,47
46,fill,48
49,send,44
6,save,7
50,transport,51
52,fall,53
52,run,53
6,save,7
54,lay,55
56,hear,57
56,see,58
58,land,59
58,slid,59
58,weigh,60
58,fall,61
62,show,63
3,occur,4
6,save,7
64,flush,65
64,provide,66
67,report,68
3,occur,4
6,save,7
69,access,70
71,replace,72
71,leave,72
69,adjust,73
20,contact,74
63,raise,75
6,save,7
76,roll,77
78,send,79
80,involve,81
80,,82
80,involve,83
77,access,84
6,save,7
50,start,85
86,start,87
48,appear,87
88,show,83
89,shall_distribute,9
6,save,7
46,,90
6,save,7
91,,92
93,hit,20
94,cause,81
6,save,7
50,change,95
50,turn,96
6,save,7
6,save,7
6,save,7
94,cause,97
98,,99
6,save,7
100,leave,101
100,go,102
100,receive,102
6,save,7
103,discuss,104
105,begin,106
105,lift,107
105,secure,108
109,hitch,110
109,,110
109,create,110
111,stop,112
6,save,7
113,break,114
113,open,115
116,take,117
6,save,7
118,find,119
120,enter,121
6,save,7
122,remove,123
6,save,7
124,carry,125
116,identify,126
6,save,7
93,receive,127
63,result,102
63,require,102
3,occur,128
6,save,7
3,occur,27
6,save,7
129,carry,130
131,replace,132
131,carry,133
134,lose,135
98,bunde,135
6,save,7
25,conduct,136
25,conduct,136
93,descend,137
25,visit,64
25,return,64
138,,64
139,advise,140
141,complete,142
80,involve,81
80,,82
64,prescribe,25
93,depart,143
93,leave,143
6,save,7
76,point,144
76,notice,145
146,,147
76,give,148
6,save,7
149,,150
151,rotate,152
6,save,7
153,camarote,154
155,continuum,156
94,,157
158,cause,159
46,,160
46,continue,160
161,,162
6,save,7
6,save,7
6,save,7
143,head,163
164,instal,165
166,raise,167
168,angle,169
30,secure,170
168,,171
172,clamp,173
174,linha,175
176,stop,177
176,get,178
179,convs,180
181,,182
183,leve,184
6,save,7
185,impact,186
118,approach,187
93,continue,188
3,occur,27
6,save,7
189,strike,190
6,save,7
116,lift,48
3,occur,4
6,save,17
6,save,7
46,suffer,158
46,refer,191
46,receive,191
192,embarque,193
6,save,7
194,roll,195
189,make,196
197,,198
194,roll,195
189,make,196
6,save,7
116,find,199
200,,201
118,loosen,58
118,find,202
6,save,7
203,contact,204
205,,206
6,save,7
83,cause,1
207,,208
209,colidido,210
211,tenha,210
211,,210
6,save,7
212,shut,213
212,activate,213
6,save,7
185,strike,214
3,occur,27
6,save,7
25,transit,215
93,descend,26
25,lose,216
25,attend,217
218,informado,219
220,involve,81
220,,82
221,involve,83
222,plan,223
25,hold,224
26,inspect,225
6,save,7
226,movimentao,227
228,contido,229
230,pipelay,231
232,identify,233
6,save,7
234,develop,235
236,perform,237
50,put,238
3,occur,4
6,save,7
239,strike,240
239,strike,240
6,save,7
241,assess,242
6,save,7
105,halt,243
105,hear,12
105,inspect,244
116,find,245
3,occur,4
6,save,7
246,move,247
248,access,249
6,save,7
143,complete,250
251,reach,252
253,begin,254
251,,255
6,save,7
256,,257
258,na_estrutura,259
260,precisar,261
222,teve,262
46,perform,3
46,lean,263
30,give,264
46,require,265
46,,266
6,save,7
6,save,7
25,instal,267
46,bump,268
267,fall,268
267,rub,98
267,cause,269
6,save,7
118,stop,85
270,encounter,271
272,show,273
6,save,7
274,une,275
6,save,7
50,use,276
118,release,277
278,cause,279
6,save,7
93,pick,267
172,hit,280
93,get,281
172,hit,280
6,save,7
46,lose,178
46,hit,282
46,lose,178
46,hit,282
5,commute,283
6,save,7
284,counterlone,285
6,save,7
286,press,287
93,receive,102
94,identify,288
6,save,7
143,commence,150
289,squeeze,290
289,retract,59
291,commence,150
292,absorb,293
6,save,7
25,wear,294
6,save,7
295,present,296
297,present,298
6,save,7
299,sustaine,24
46,go,300
6,save,7
301,detect,302
1,recover,303
304,recover,302
305,identify,302
306,pass,292
1,recover,307
308,instal,309
1,resume,310
6,save,7
311,perform,310
6,save,7
46,run,312
30,weigh,313
46,feel,314
6,save,7
315,utilize,316
50,receive,102
50,receive,317
6,save,7
94,contact,318
3,occur,4
6,save,7
132,,319
320,reach,167
6,save,7
3,occur,4
321,attach,322
253,exit,323
324,,324
325,tell,324
284,preform,276
324,tell,325
253,say,326
327,leave,328
122,reposition,329
330,begin,331
330,strike,329
332,,333
330,shift,329
330,strike,329
6,save,7
3,occur,27
6,save,7
143,erect,94
334,lift,335
336,lower,276
336,fork,276
337,complete,338
339,proceed,340
52,walk,340
339,incur,340
6,save,7
246,recognize,341
246,,196
246,hit,342
6,save,7
25,strike,172
6,save,7
232,lift,343
94,involve,344
335,request,253
335,follow,330
253,slew,345
346,glance,347
6,save,7
348,aproximadamente,349
350,take,351
350,damage,352
6,save,7
353,pinch,354
355,delegate,243
356,remove,357
358,present,357
58,start,359
360,strip,357
52,hold,361
52,operate,362
25,hold,363
364,try,365
93,meet,366
116,take,367
64,assess,368
369,give,368
225,inform,370
225,attend,143
371,,79
25,attend,372
217,consult,373
217,inform,374
355,inform,143
6,save,7
375,catch,376
6,save,7
46,spray,377
378,cause,379
3,occur,4
136,close,380
381,replace,382
381,clean,98
6,save,7
46,remove,383
93,injure,384
93,,384
93,touch,385
46,notice,368
46,inform,386
112,interrupt,386
6,save,7
387,enfermeiro,388
389,estranho,390
65,,391
392,estranho,393
6,save,7
394,grind,395
396,,397
52,hold,398
52,drive,399
400,grab,401
94,wear,402
403,belegget,404
405,som,406
407,belegget,408
409,mest,410
411,bolten,412
246,rotasjonen,413
3,occur,128
6,save,7
93,place,384
93,,414
93,land,415
93,move,415
93,stretch,415
93,report,80
93,feel,416
30,impact,112
6,save,7
417,,418
6,save,7
116,go,419
116,hear,420
50,turn,421
422,unload,423
424,back,115
424,hit,115
115,bend,83
6,save,7
425,stop,426
427,begin,85
428,remove,429
430,fall,255
431,,255
6,save,7
6,save,7
3,occur,4
6,save,7
6,save,7
432,move,433
94,require,432
93,,434
93,tidy,98
93,pick,434
70,deflect,435
436,call,437
438,suggest,439
48,depress,440
6,save,7
441,take,351
442,,443
6,save,7
52,cut,398
444,rest,445
446,slid,447
116,,448
449,hold,144
80,involve,81
80,,82
266,show,450
80,,451
80,involve,83
6,save,7
452,generate,453
454,,455
454,see,145
25,send,456
25,wash,456
457,show,458
3,occur,27
6,save,7
246,drive,459
246,pass,460
246,strike,36
94,force,461
48,hit,36
462,arrive,463
462,conduct,463
246,hold,464
6,save,7
465,rebound,25
465,hit,25
25,get,466
25,damage,466
3,occur,128
6,save,7
467,preppe,468
106,make,469
470,notice,471
470,notify,472
116,lift,473
474,,255
6,save,7
475,canto,476
477,imediatamente,478
479,incluindo,480
479,,481
25,,482
25,insert,483
484,proceed,80
484,report,80
25,receive,317
3,occur,27
485,drive,486
485,strike,486
6,save,7
118,,487
6,save,7
3,occur,27
488,niteri,489
118,stretch,490
94,disbalance,118
93,contact,314
93,feel,314
6,save,7
286,hit,491
492,find,493
494,conduct,495
496,conduct,497
498,start,499
500,lower,501
502,,255
224,bend,503
500,raise,501
232,report,255
6,save,7
401,work,104
6,save,7
504,sustain,505
6,save,7
109,weigh,506
46,grab,109
46,wear,507
46,tell,508
116,x,509
116,ray,509
116,recommend,510
6,save,7
511,strike,512
513,rack,514
6,save,7
50,move,51
51,place,15
50,stop,515
118,strike,516
517,move,51
517,fall,518
517,strike,509
6,save,7
519,,520
6,save,7
521,hit,522
3,occur,4
6,save,7
118,move,523
524,hold,523
6,save,7
525,,526
6,save,7
46,assist,50
93,crank,527
527,strike,287
467,preppe,468
106,make,469
470,notice,471
470,notify,472
116,lift,473
474,,255
6,save,7
94,contain,528
529,,530
529,perform,530
531,dress,532
6,save,7
533,keep,534
535,increase,534
246,,126
284,decrease,536
284,end,537
6,save,7
538,place,539
93,reach,172
93,bang,172
255,cause,159
94,start,540
6,save,7
541,see,272
541,cut,272
542,drop,543
542,drop,544
545,complete,159
545,recover,159
1,carry,546
547,submit,548
61,ise,82
284,take,549
550,need,551
552,,553
6,save,7
243,remove,554
267,operate,384
267,leave,384
384,intend,555
25,commence,556
25,observe,557
116,inform,558
78,stop,243
25,lower,559
25,visit,64
269,apply,560
561,involve,81
561,,82
80,,451
80,involve,83
86,inform,50
6,save,7
562,lid,176
563,cause,269
64,clean,368
564,utilise,565
25,wear,566
94,provide,319
6,save,7
52,prepare,29
93,,567
568,report,63
64,dress,159
569,do,570
571,tratou,572
6,save,7
3,occur,128
6,save,7
573,conduct,574
6,save,7
575,place,576
93,catch,287
577,place,576
93,take,287
578,attend,217
64,clean,579
64,apply,580
581,,582
583,esquerda,584
6,save,7
585,move,586
585,continue,587
588,support,589
588,push,590
588,,591
6,save,7
80,occur,75
25,raise,75
386,notify,75
25,see,592
93,feel,593
25,handle,594
25,transport,52
25,gain,595
25,feel,314
25,feel,314
25,raise,48
94,require,596
25,continue,112
597,,416
94,change,598
6,save,7
599,remove,600
376,hit,601
284,trigger,602
93,hit,603
93,raise,604
48,hit,605
246,stand,80
246,see,80
93,start,606
246,shout,436
93,drag,603
116,receive,602
93,inform,607
246,,608
284,,609
610,tell,611
284,figure,611
93,,612
611,keep,613
284,go,48
284,stop,48
614,remain,611
614,turn,611
30,stop,48
246,call,79
246,update,79
284,,535
93,inform,607
246,remember,615
610,speak,616
610,get,616
284,pump,121
284,collect,121
284,transport,48
611,turn,617
284,will,617
246,inform,79
284,wait,79
246,send,618
284,take,619
284,lock,620
116,,621
622,try,623
246,say,624
284,get,616
6,save,7
50,set,474
474,drag,625
474,perform,625
474,drop,51
118,activate,626
118,sound,627
118,feel,628
48,support,629
118,regain,3
630,support,629
6,save,7
287,impact,398
100,perceive,515
384,strike,631
100,wear,632
100,notify,14
100,visit,242
78,organise,310
100,award,633
116,,255
6,save,7
634,carry,635
6,save,7
636,attach,637
636,push,638
636,pull,639
640,catch,641
642,,641
3,occur,4
6,save,7
643,move,51
643,finish,644
643,notice,645
643,come,314
643,notice,314
646,,48
6,save,7
48,check,647
48,read,648
649,know,189
649,get,189
116,fly,650
116,,650
564,have,651
652,figure,189
564,clean,653
6,save,7
461,jerk,654
461,hit,654
3,occur,27
461,jerk,654
461,hit,654
6,save,7
655,contact,23
6,save,7
656,hit,657
6,save,7
118,go,658
659,confirm,535
660,hit,661
46,feel,662
93,inform,607
93,return,663
93,take,663
46,wear,664
93,inform,607
93,,665
6,save,7
6,save,7
6,save,17
666,apply,667
666,cause,667
50,tighten,668
284,,646
669,,328
78,operate,670
48,lift,671
671,send,671
672,fall,30
48,guarantee,30
6,save,673
6,save,7
674,run,675
93,,30
6,save,7
676,arrive,677
676,assess,678
676,support,679
6,save,7
232,lower,523
680,instruct,253
253,move,681
463,receive,682
284,,683
30,remind,118
684,change,685
681,aux,686
6,save,7
6,save,7
687,respond,688
687,complete,688
6,save,7
689,raise,690
691,emit,692
691,testing,693
692,last,694
692,attend,695
692,visit,143
692,discuss,696
6,save,7
697,strike,698
105,account,699
105,close,290
105,squeeze,290
700,take,351
701,arrange,702
703,take,704
93,feel,705
62,note,63
6,save,7
6,save,7
63,include,706
170,schedule,707
708,identify,709
710,shed,711
712,record,713
6,save,7
6,save,7
6,save,7
6,save,7
123,complete,314
25,press,714
93,feel,314
176,complete,715
176,shut,716
176,deliver,123
25,go,717
25,present,717
64,call,351
718,take,351
64,administer,719
93,experience,314
48,clear,720
93,experience,90
721,,564
25,indicate,564
93,spend,722
63,raise,723
6,save,7
724,operate,725
6,save,7
726,approach,727
94,rent,726
46,feel,314
30,prevent,79
6,save,7
6,save,7
3,occur,128
6,save,7
