id,entity
1,rov
2,pry bar
3,activity
4,remote
5,title
6,life
7,rules
8,tfmc panel operator
9,end
10,serimax collaborators
11,middle end
12,noise
13,occurrence
14,supervisor
15,spot
16,case
17,rules bypassing obtain authorization
18,t forklift
19,cabin basket
20,leg
21,staircase
22,bruise
23,crate
24,damages
25,ip
26,stairs
27,less
28,office worker
29,food
30,that
31,boiling water
32,pot
33,action
34,water overflow
35,mm excess
36,vehicle
37,back
38,co2 extinguisher
39,tpu panel
40,half
41,to smother the flames
42,challenger 28may2023 load
43,crane walkway
44,employees
45,workstation
46,employee
47,cardboard box
48,it
49,hse supervisor
50,technician
51,pallet
52,one
53,forklift
54,nsa
55,static
56,- contractor
57,something drop
58,nut
59,frame
60,grams
61,distance
62,drops calculator
63,this
64,medic
65,eye
66,otc pain medication
67,2/22/2022 ip
68,improvement
69,she
70,socket
71,floor port cover
72,cover
73,chair
74,lip
75,issue
76,crew member
77,ankle
78,who
79,him
80,incident
81,injury
82,potential
83,damage
84,deck
85,process
86,hse
87,interviews
88,observation
89,report
90,discomfort
91,alguns materiais
92,palete
93,he
94,which
95,propane tank
96,fitting
97,damage damage
98,area
99,footprint
100,worker
101,forearm
102,aid
103,lead
104,way
105,team
106,rig
107,rig zipper valve
108,zipper valve
109,valve
110,slack
111,lead tech
112,work
113,robbers
114,glass
115,door
116,they
117,board
118,operator
119,leakage
120,05ltres
121,water
122,fst
123,cap
124,fire teams
125,areas
126,fire
127,burn
128,frequent
129,rov team
130,testing
131,crane tech
132,hose
133,inspection
134,fluid
135,design
136,maintenance
137,ladder system
138,request
139,hsea
140,captain
141,fact finding
142,witness account form
143,vessel
144,time
145,increase
146,site medic
147,/wash
148,eye drop
149,incident description vessel
150,transfer
151,uta
152,to stbside
153,piso
154,tapete facilitando queda
155,no houve o colaborador
156,desempenhando suas funes
157,carpet
158,fall
159,cut
160,to perform his duties
161,apos sair
162,banho
163,°
164,rigging team
165,haul rigging
166,head clamp
167,position
168,rigging hit did
169,degrees
170,line
171,turno diurno
172,head
173,da jfl
174,estava prendendo
175,pequeno dano
176,actions
177,job
178,control
179,o rigging
180,inspeo inicial
181,caiu resultado
182,incidente
183,pelo system supervisor
184,foram registrados
185,fork
186,door rail
187,entrance
188,working without realizing it
189,truck
190,vehicle obstacles
191,day leave
192,durante o
193,navio
194,pipe coupons
195,trailer
196,turn
197,jh walker
198,wrecker service
199,nut puller pipe
200,transitions pipes
201,device
202,metal pins
203,shepherd offshore
204,site
205,lady
206,stop sign
207,painel
208,x que
209,que rov tenha
210,jumper sem perceber quebra
