id,label,type
node:fb45a8eea326f469,operator,entity
node:459850448cb2c5ce,his back,entity
node:94894d0480830370,type,entity
node:3a0fe8545bac232e,Injury/Illness,entity
node:f65bceae9e1f5084,description,entity
node:4dd842546de55b2c,Negligible,entity
node:1a345cef2abea8d3,severity value,entity
node:ee7d7df4366777c2,1.0,entity
node:1d051ddebb2afa7b,Frequency,entity
node:f59c096b3321a5ef,incident,entity
node:b66ca7b81154bd22,value,entity
node:8987dddee8db0aa6,criticality,entity
node:6ad8136021b8f634,risk color,entity
node:56ad49b28b1f4b20,Green,entity
node:ebd9f7059080901b,system,entity
node:150a24f7bf3f4ae1,Intelex,entity
node:1dc98cc9a40e5a79,date,entity
node:eda229aab6a7cb97,00:00.0,entity
node:afc97a12f07d4317,General Business Unit involved,entity
node:b7a3802d43e0d4cc,REMS,entity
node:c6266c80782ca872,General Business Unit,entity
node:9e0a3afd66f4fadf,case,entity
node:efb0833c3b6eb969,specific Business Unit,entity
node:2b04b04221128fac,Subsea Processing,entity
node:9613588cae9c50d2,The General Business Unit,entity
node:07c2fc087cd38657,workplace,entity
node:5322bd41eb35fa05,name,entity
node:a5e8d30551a7cb72,Non Project Specific,entity
node:99ac13c2bb0f4fc7,client,entity
node:dced6ea9be60cf06,TECHNIPFMC PLC.,entity
node:d9d10f1dc86defd4,case categorization,entity
node:0fd25730b84c418a,Falls,entity
node:92de4aaab559e717,level,entity
node:3db2cadf10105d02,same level,entity
node:beef3462beb17905,life rules,entity
node:e43df9a07791cf5a,Safe Mechanical Lifting,entity
node:70859b7f9205dc81,Safe Lifting,entity
node:ccc83dc829b0c87c,life saving rules,entity
node:e2c8705aee880200,reported,entity
node:76cc366a69e13c91,5/20/2021,entity
node:8045bc4ef3beffa2,status,entity
node:4082fc94e32df0e3,Completed,entity
node:fd062c23cbff59ef,loss potential severity,entity
node:a34062f22795c56d,when reported,entity
node:f11aa01a8fad5b50,closed,entity
node:3dc2d5f80ef9d4ee,operating center,entity
node:a0966374f0a560d8,selected incident,entity
node:2809263c1552cd5a,location code,entity
node:42597006dd9cdfba,TFMC212,entity
node:8816bfad41ee8613,ROV,entity
node:9038e613ed695757,pry bar with lanyard,entity
node:fa1e3e124de010c9,lanyard,entity
node:845f53ca5412b01c,Pry Bar,entity
node:13bb81856f55feec,anticipation,entity
node:dd8810832f458e17,TMS,entity
node:3cb7d2848a6144c8,Environment,entity
node:f9d5f765546f2696,Exposure,entity
node:107af1ad6cd438ad,activity,entity
node:3a6b50ed4095dd4c,activity by location,entity
node:93f0ff3210061310,Exposure to activity,entity
node:0ceb2ed48a6b1d28,Exposure to activity by location,entity
node:e31f212b8e2f7a7d,Unlikely Activity,entity
node:f426ae6423a7bf2b,occurs,entity
node:30b402df5de31446,2.0,entity
node:b829b0e910489f28,13:00.0,entity
node:f02496fb1c3a429d,title,entity
node:fcbecb8d22f19c02,pry bar seabed,entity
node:50f3f07ac4ebd18c,bar seabed,entity
node:ccf791b80952cc4e,Subsea,entity
node:0a8aa232494d650c,Projects,entity
node:6b1673fb13c816cc,300613C001,entity
node:8134b8752c35ca2c,SHELL OFFSHORE INC.,entity
node:781f46fabbbd7ca3,Hazard Identification,entity
node:f4fb9429ef1c1c5d,work process,entity
node:8dac4b27874f4313,Construction,entity
node:7a20432a920b4546,7/19/2023,entity
node:d12aa20bcd88a452,TPFMCUSA,entity
node:fd628f49c74f57cc,TFMC609,entity
node:70dc1e3530e16efa,TFMC panel operator,entity
node:f8de7074f579c5c8,end,entity
node:f0596e73ce9806c3,front end,entity
node:97970add426f331e,Serimax collaborators,entity
node:f06567045a0b4eec,middle,entity
node:dcca9b77c2d9ecb4,front end of column,entity
node:61bf13270dfba43d,middle of column,entity
node:6aab058442a6a2d7,other end,entity
node:72f2c996a76e9872,end of column,entity
node:6bc029efa00480b2,tube point,entity
node:49bf99831835532e,Cabine 03,entity
node:8d3ce4cc84d9787e,supervisor,entity
node:35c538ba89a41a83,where accompanied by middle,entity
node:8d26f7ebc9cdd0e3,where accompanied by middle of column,entity
node:05ae6e33389ced9d,accompanied,entity
node:85fd268b05724cc1,where accompanied,entity
node:e335d899b12e5f6c,spot,entity
node:fe2299dbbd57daae,Accident,entity
node:49110eb7172e4ce5,where accompanied by case,entity
node:31293efe993c24ad,impact,entity
node:1c1b1bd9d2192d38,Damage,entity
node:3870a30e191483dc,event,entity
node:f105e53fe5a10f50,undesired event,entity
node:3d73a65ff68270a6,Probability,entity
node:89c9e690f63d8de8,occur,entity
node:67f61e3da5145b1a,3.0,entity
node:498b3797c1ffeb8d,8.0,entity
node:1c9898c2a5f6f9bf,0.0,entity
node:688608fa38c6d97c,mitigated risk color,entity
node:ace9b0eac87cb97b,project,entity
node:d0332e0f1eb5edd3,077524C001,entity
node:8e0b41015560da53,Inadequate Supervision,entity
node:cd645485f0892b3a,Manufacturing-Assembly,entity
node:443a745bad2abfcf,Bypassing Safety Controls,entity
node:8b7bf3aee679c80e,3/21/2022,entity
node:6a611dc3333cada5,has approved,entity
node:8b3aa9c18f3ac1e0,when has approved,entity
node:606a707595fbe5d2,10/24/2022,entity
node:87e6f979dbf54aa1,TPBRASIL,entity
node:8e689d7ec730247d,TFMC640,entity
node:65dc49e7dc1b4917,Active,entity
node:9a994b5e2eccaac6,20T Forklift,entity
node:3278b0bd47d3df30,cabin basket,entity
node:a476406b9cde8d54,3 point,entity
node:4030799b05bd997b,Forklift,entity
node:4ac2697ce30524d3,offshore cabin basket,entity
node:9537bf61b54110b4,reversing,entity
node:f8600188b20f6f1e,reversing for 3 point,entity
node:193ad9ad8dec6fbf,Has occurred in our company,entity
node:a0bc746ddfb69b1b,Has occurred,entity
node:eab3cf89de029c42,20:00.0,entity
node:2059d0a17182badc,20Ton Forklift,entity
node:f9fc27290375889c,parking delivery truck,entity
node:8d6dff8e9e39de5d,Surface Products,entity
node:7fa629320f9b3458,Workplace layout,entity
node:688a52403875ab92,Manufacturing-Warehouse,entity
node:452f9ab73ceb87e8,1/11/2022,entity
node:ceba3cea7517ce53,7/5/2022,entity
node:00e9e4a9ccd34fc0,TFMC408,entity
node:707b607494d51687,personnel 's leg,entity
node:9f61fe9f976fee2f,staircase,entity
node:f7abaf52ca54d835,personnel,entity
node:c154363fb82db1c8,leg,entity
node:0fb139cbf588c21e,bruise,entity
node:8231e6b99c2601b2,taken to medic at FLT Onne Base,entity
node:a60d555e4c47d1f5,taken,entity
node:5e6e8b7b043f376e,Total FLT Onne Base,entity
node:de28dee12e3339d4,attention,entity
node:ce88bd347b473575,taken to medic at Total FLT Onne Base,entity
node:ebf0acaf5530fc0e,medic,entity
node:28cc7f16139ce10d,medical attention,entity
node:febd490f6b50e55a,FLT Onne Base,entity
node:5140db329bd4d184,after which referred for x-ray on affected area,entity
node:504efb7acaa4bd54,referred to PH clinic for x-ray,entity
node:df3ea2b3b13eff8c,referred to PH clinic for x-ray on area,entity
node:812c9c91b1166671,x-ray,entity
node:e04227f91d94ea5d,First aid,entity
node:983c9f44125421a6,administered,entity
node:cdfa4d48d15975b0,referred to Total PH clinic for x-ray on affected area,entity
node:77d6e6317727d7ef,referred to PH clinic for x-ray on affected area,entity
node:8c29bf24d97f1cf2,referred,entity
node:19ee3db8366a4308,after which referred to PH clinic for x-ray,entity
node:ed063a8d4c4d61ac,after which referred to Total PH clinic for x-ray on affected area,entity
node:a08316625ccda723,after which referred,entity
node:9603d22617bb5bd4,after which referred for x-ray,entity
node:61e59075944ea347,aid,entity
node:470fa8db6a411275,x-ray on area,entity
node:c7e27ed9d26aaa2c,after which referred for x-ray on area,entity
node:88360b6927036ef5,x-ray on affected area,entity
node:2743c73232fee054,PH clinic,entity
node:e777f0102b73a958,after which referred to PH clinic,entity
node:315744a395ba032b,after which referred to PH clinic for x-ray on area,entity
node:5f3a726eede29e8f,referred to Total PH clinic for x-ray,entity
node:a1571dabec1dccf0,after which referred to Total PH clinic for x-ray,entity
node:24254ea1e3042e3a,after which referred to PH clinic for x-ray on affected area,entity
node:531b546a4a0f82ae,after which referred to Total PH clinic,entity
node:060f9de00af323ef,referred to Total PH clinic for x-ray on area,entity
node:a32786695507330d,after which referred to Total PH clinic for x-ray on area,entity
node:cc38b53cc330b744,Total PH clinic,entity
node:0e6064f7ceb232b8,On 13th August 2023 performed on personnel 's leg,entity
node:97551d797dabbdfd,all,entity
node:c5c2e70aeea5edc6,OK,entity
node:4123dd045b654888,13th August 2023,entity
node:8a7272cb6a2e081a,On August 2023 performed on personnel 's leg,entity
node:ba1044ea7d693d4d,performed,entity
node:2ab78ffec165bd79,discharged,entity
node:03f730c3a97f1a31,after which discharged,entity
