RECORD_NO_MASTER,TYPE,RECORD_NO_LOSS_POTENTIAL,IMPACT_TYPE,SEVERITY_DESCRIPTION,SEVERITY_VALUE,LIKELIHOOD_TYPE,LIKELIHOOD_DESCRIPTION,LIKELIHOOD_VALUE,CRITICALITY,RISK_COLOR,MITIGATED_RISK,MITIGATED_RISK_COLOR,SYSTEM_OF_RECORD,RECORD_NO_LOSS_POTENTIAL_MUTATED,RECORD_NO,DATE_TIME_OF_INCIDENT,TITLE,GBU,BU,WORKPLACE,PROJECT,CLIENT,text,CASE_CATEGORIZATION,WORK_PROCESS,LIFE_SAVING_RULES,WORK_RELATED,TFMC_OWNED,DATE_REPORTED,NOTIFICATION_SENT,STATUS,LOSS_POTENTIAL_SEVERITY,DATE_OF_APPROVAL,DATE_OF_CLOSURE,DUE_DATE,OPERATING_CENTER,LOCATION_CODE,PERSON_RESPONSIBLE_STATUS,RECORD_NO_HAZARD_OBSERVATIONS_translated,DESCRIPTIN,SIF_PREVENTION,STOPPED_WORK,RECORD_NO_NEAR_MISSES_translated
55726.0,Near Miss,24397,Environment,1 - Negligible,1.0,Exposure to activity by location (workplace),3- Possible - Activity occurs quarterly  / Occasional,3.0,4.0,Green,1.0,Green,Intelex,24397_Intelex,,58:00.0,Deep Arctic – Harbour Energy Talbot & Affleck – 077891C009 – Sat 19th Oct 2024 – Failed hyd hose during the lowering of ROV UHD 17 on deck.,Subsea,Projects,"Deep Arctic, Aberdeen, UK, Europe, TechnipFMC",077891C009 - Talbot / Affleck EPCI,N/A - No Vendor,"Deep Arctic – Harbour Energy Talbot & Affleck – 077891C009 – Sat 19th Oct 2024 – Failed hyd hose during the lowering of ROV UHD 17 on deck.  The vessel is currently working on the Harbour Energy Talbot and Affleck Campaign inside the Affleck 500m zone. During standard operation ROV UHD 17 was in the process of being recovered to deck when a hydraulic hose (Gantry Snubber Damper Hose) failed during the lowering of the vehicle at the inboard position. The system was immediately shut down and onsite SOPEP kit used to prevent any potential spill into the sea, all relevant personnel were informed. The initial investigation identified that the hose failed as the gantry snubber damper was energised which is used to allow for the a more controlled movement of the vehicle in and out of the snubber. The damage hose was changed out and replaced before permission was granted to perform a system test. On completion of a successful test the vehicle was split to allow for further cleaning and degreasing, all the required scupper plugs were in place and a wet vacuum was used to collect the water residue post cleaning.                                                                                                                                                                                                                      Initial Findings.  1.The failed hose is located directly above the snubber and is energised to allow increased control when raising or lowering the vehicle from the snubber.  2.The team acted correctly and efficiently shutting down the system and utilising the SOPEP material located onsite.  3.The hose was covered in spiral wrap and is subject to visual inspection as per planned maintenance.  4.No impact of deformation was identified on the hose, other than burst at the mid part of the hose.  5.Approx 5 litres of Tellus 32 was lost into the ROV hanger.  6.No oil was lost overboard during the initial hose failure or clean-up operation.  7.The current reference document - Strategy for Management of Flexible Hose Assemblies (FHAs) MOS-QMT-47 calculates this release in the consequence table as (Class 3) (Medium) Moderate risk level may require additional control measures. Control measures should be reviewed, objectives and targets should be set if impact can be reduced.  8.The failed hydraulic hose is listed in the required hose register and within replacement date. (Date 01-2020).   Actions taken  The ROV recovery team initiated an immediate all stop and used the required SOPEP material efficiently to prevent any potential for an environmental spill. Permission was granted to access the damaged hose location to allow further investigation and repairs. On completion of repairs, hose replacement, the ROV  team conducted a  successful function test.","Stored energy (pressure, tension)",Construction - Installation-Construction,Not Applicable,True,True,10/20/2024,False,Completed,1.0,11/13/2024,11/13/2024,11/10/2024,TUK - UK - Aberdeen (UKBU),TFMC500,,,,,,55726.0
31682.0,Accident,16226,Environment,1 - Negligible,1.0,Frequency of the incident,"3 - Possible - Has occurred in our company, or more than once per year in the industry",3.0,4.0,Green,1.0,Green,Intelex,16226_Intelex,31682.0,02:00.0,Subsea Environmental spill from jumper lead connection,Subsea,Projects,"North Sea Giant, Aberdeen, UK, Europe, TechnipFMC",300961C001 - ?sgard Subsea Compressor CO,EQUINOR ENERGY AS,"Events leading up to the incident NSG is currently in field performing subsea valve operations ahead of compressor module changeout. ROV were subsea and in process of following task plan for various subsea valve operations.   What happened At approximately 2002 hrs, a quantity of fluid was seen to discharge from a  hydraulic jumper fitting into the sea in an uncontrolled unexpected manner.  Initial actions Operations were completely stopped. Bridge, OMT, Client, and HSE informed. ROV recovered to deck to investigate causes.  Findings Approximately 0.1 litres of AWS 22 hydraulic oil was discharged The leak was from a hydraulic jumper lead connection Fittings are JIC type which are designed for multiple connect and disconnect. The fittings can be prone to become loose due to vibrational and pressure related external forces.    Follow up actions Carried out investigation and found loose fitting on jumper - completed Check further fittings whilst on deck – completed and others noted and re secured - completed All jumper assemblies to be tested on deck and under full working pressure prior to further use – ongoing as required.",Hazardous liquids (exposure to / spill / loss of containment /pollution),,Not Applicable,True,True,8/17/2023,False,Completed,1.0,8/18/2023,8/18/2023,8/24/2023,TPNORGE - Norway - Lysaker,TFMC510,,,,,,
23084.0,Accident,13659,Damage - Financial impact,2 - Minor,2.0,Exposure to activity by location (workplace),5- Very likely - Activity occurs weekly / Almost Certain,5.0,32.0,Yellow,2.0,Green,Intelex,13659_Intelex,23084.0,36:00.0,Forklifts Damages Rack,Subsea,Services,"Agotnes Facility, Agotnes, Norway, Europe, TechnipFMC",N/A - Non Project Specific - N/A - Non Project Specific,,"B7  Forkl  The forklift with Pallet came in contact with the rack and deformed column base.  The equipment was long and came too close to the rack and the driver of the forklifts had less visibility while turning and negotiating to place the pallet on the ground, leading to hitting the racking.",Uncontrolled moving objects/ parts (struck by other than machine parts and dropped objects),Manufacturing-Transport / Handling / Packing,Safe Mechanical Lifting - Plan lifting operations and control the area,True,True,3/16/2023,False,Completed,2.0,,5/25/2023,3/31/2023,N/A - Non Project Specific,TFMC460,Active,,,,,
21465.0,Near Miss,14107,Injury/Illness,2 - Minor,2.0,Probability of the undesired event,3- Possible - 10% to 30%,3.0,8.0,Green,2.0,Green,Intelex,14107_Intelex,,30:00.0,"Technical Services _ Shell _ C Port 2 _ Slip 9 _ February 15,2023 _ Dropped Object (component from the overhead crane fell to the floor) Incident.",Subsea,Services,"Gremp Campus (Generation Park), Houston, USA, North America, TechnipFMC",N/A - Non Project Specific - N/A - Non Project Specific,SHELL OFFSHORE INC.,"No personnel or TFMC equipment injured/damaged. The Stones 19 XT was in the process of being lifted from the floor to the XT inspection stand. When the XT was approximately 1 foot off of the ground, a component from the overhead crane fell to the floor. The item weighed approximately 0.50lbs and fell from approximately 78 feet. Area was immediately vacated, and XT lowered back to the ground. Currently on safety standdown for further investigation.",Stored energy (dropped objects),Construction - Installation-Operations,Not Applicable,True,False,2/15/2023,False,Completed,2.0,4/24/2024,4/24/2024,10/3/2025,N/A - Non Project Specific,TFMC611,,,,,,21465.0
14835.0,Accident,10671,Injury/Illness,3 - Significant,3.0,Exposure to activity by location (workplace),2- Unlikely - Activity occurs yearly / Remote,2.0,8.0,Green,2.0,Green,Intelex,10671_Intelex,14835.0,30:00.0,Deep Arctic - RWC - Diver 3 (Bellman) Reports Feeling Unwell During Dive - Ithaca Captain EOR - 082694C001,Subsea,Projects,"Deep Arctic, Aberdeen, UK, Europe, TechnipFMC",082694C001 - Ithaca Captain EOR.,N/A - No Vendor,"Event Details.   Project: : Ithaca Captain EOR – 082694C001  Client: Ithaca   Date and Time of incident: 05/10/2022 – 14:30hrs   Geographic Location: Inside 500m zone of the Ithaca BLP – A – Platform   Type of Incident: RWC – Diver 3 (Bellman) reports feeling unwell to Dive Supervisor.   Immediate assistance required: Yes – Contact with Topside Medical / Duty Diving Doctor   Description/Summary of incident:  At 14:30 hrs on Wednesday 5th Oct 2022 Diver 3 (Bellman) reports feeling unwell describing symptoms of headache, light-headedness and nausea whilst he was preparing Diver 2 for lockout, Note - Diver 1 was already in the water.  The Diver Supervisor on the panel could see that the Bellman was acting in an unusual manner and immediately called an all stop to the operation asking the Bellman to clip Diver 2’s hat back on so Diver 2 could get undressed and assist. The Dive Supervisor informed all key personnel immediately which included the Medic, OCM, Dive Tech Supervisor and HSEA who all arrived in Dive Control. Diver 2 removed his hat and proceeded to assist the Bellman by pouring cold water over his back and neck as the Bellman advised that he was feeling very hot. Diver 1 who was in the water was instructed to return to the bell to assist and prepare the bell for recovery back on to the system, during this period the Dive Supervisor provided regular feedback to the Medic regarding the Bellman’s state and condition which was noted as improving. The table below provides a timeline of events from the initial report/observation of feeling unwell until the bell arrives back onto the system   1430	Bellman reports unwell  1432	Diver 2 is removing hat  1437	Diver 2 out of hat and harness  1438	Diver 3 secured 1442	Diver 2 out and pouring water down suit to cool down  1445	Bellman thinks he is overheating  1453	Bellman reports that he had headache, nausea. He is cooling down and responsive  1458	Securing bell to leave bottom  1500	Ladder hung from bottom door and secured  1502	Door down castellated  1504	Stbd bell leaving bottom  1506	Stbd bell on surface  1519	Bell door open and secured  1521	TUP Bottom door down (note additional diver already in the TUP to assist) 1521	Diver 2 in TUP to assist  1522	Diver 3 lowered connected to manlift  1523	Diver 3 appears fatigued, swaying and disorientated.  1535 	TUP complete  Actions taken	 The team assisted the Bellman getting out of his diving gear and into chambers.  Medic spoke with the Bellman in the TUP who reported feeling better  The DMAS system locked into Chambers for live analysis and vitals etc with the Duty Diving Doctor.      Diver workscope details   ?	Chamber 3 – Shift pattern 13:00 - 0100  ?	Committed to SAT – 04/10/2022 – 0700hrs   ?	Deepest storage depth 18msw ?	Current storage depth – 18msw   ?	Dive # 11 Stbd Bell                 Current situation/Initial actions taken: The Bellman will continue to be monitored and to date no medication has been prescribed. Further live DMAS analysis and vitals will be arranged as per the instruction of the Duty Diving Doctor.   Findings  The Diver Supervisor, Diver 2 and the support personnel acted very quickly and efficiently ensuring the primary focus was the wellbeing of the diver in calm and controlled manner.  The DMAS analysis and vital signs of the Bellman were normal and at the time of issuing this report he was feeling much better. As heat exhaustion was predicted as a likely cause by the Diving Doctor the bell hot water trends for the were analysed and compared with previous dives using the stbd bell. The hot water trend screen grabs from Dive # 8 Stbd Bell and Dive #11 Stbd bell (are attached)   On analysis of the trends, we did not have any significant increase in bell temperature during Dive #11. The trends show no obvious or noted difference in bell temperate with both bells reaching around 27/28 degrees on the surface and cooling to between 24 /25 degrees on the bottom.                                  Did the incident involve personal injury: No.   Did the incident involve damage: No.",,Construction - Installation-Hyperbaric Environment,Not Applicable,True,True,10/6/2022,False,Completed,3.0,10/18/2022,10/18/2022,10/20/2022,TUK - UK - Aberdeen (UKBU),TFMC500,,,,,,
5055.0,Accident,1355,Damage - Financial impact,1 - Negligible,1.0,Exposure to activity by location (workplace),1- Very unlikely - Activity occurs less than yearly / Rare,1.0,1.0,Green,1.0,Green,Intelex,1355_Intelex,5055.0,30:00.0,"Damage Report - CNOOC Telford 10""- Evanton Spoolbase - 19.04.2022 - Damage to compressor due to rigging failure",Subsea,Projects,"Evanton Spoolbase, Evanton, UK, Europe, TechnipFMC",081193C001 - CNOOC Telford WI Line,CNOOC ENERGY TECHNOLOGY & SERVICES LIMITED,Serimax pipe Handling crew were repositioning a compressor using the Wheeled Excavator to get the unit closer into the rack area on Lane 1 side to allow the reach of the hoses to a short stalk on the lane 2 side. (There were 2 further short stalks to complete on the lane 1 side further down the rack). Compressor was slung to the Wheeled excavator with a 3Te sling in a basket configuration through the lifting point. Lifted approx. 6Te Lifting capacity. 1m in height. During lift Sling failed and compressor fell with one wheel landing on top of Stalk 4 (at weld 68) of the CNOOC Telford 10”pipe.  No personnel were injured or in danger during the incident.  Banksman was well clear of load when it fell. No damage to pipestalk – Inspected once Compressor was moved. Sling was recovered and had completely snapped at failure point. On inspection sling was certified with correct colour code and otherwise in good condition.,,Construction - Installation-Construction,Safe Mechanical Lifting - Plan lifting operations and control the area,True,True,4/20/2022,False,Completed,1.0,8/10/2022,8/10/2022,7/27/2022,TUK - UK - Aberdeen (UKBU),TFMC517,Active,,,,,
4858.0,Near Miss,1293,Injury/Illness,1 - Negligible,1.0,Exposure to activity by location (workplace),3- Possible - Activity occurs quarterly  / Occasional,3.0,4.0,Green,1.0,Green,Intelex,1293_Intelex,,18:00.0,Pressure Release during Test Stand Setup,Subsea,Services,"Gremp Campus (Generation Park), Houston, USA, North America, TechnipFMC",015155CLMA - Thunderhorse,BP EXPLORATION & PRODUCTION INC.,"At 6:30pm, Technician was preparing to pressure up hydraulics on the SCM test stand in work cell 9. Test stand hydraulic pressure is controlled by applying pneumatic pressure to a diaphragm on the hydraulic regulators. The technician began adjusting the pneumatic regulators to increase hydraulic pressure. When the hydraulic pressure reached approximately 500PSI, a sound was heard similar to a regulator chattering and the air supply was immediately bled off to reduce hydraulic pressure. A noise was noticed that sounded like fluid or air flow and it was observed that a fluid mist was coming from a pressure fitting on the regulator control panel located in the rear of the test cell. The ESD was pressed for the test HPU, then verified no gauges showed pressure. The regulator panel hydraulic isolation valve was closed to isolate the HPU from the work cell. The 443 was cleaned up and disposed of properly. Technician was not exposed to the pressure release due to work cell design of the Test Stand hydraulic regulator control panel Initial observation appears that the fitting had possibly vibrated loose due to the regulator chatter and began to leak from the weep hole.","Stored energy (pressure, tension)",Vessel / Yards-Workshop Activities,Line of Fire - Keep yourself and others out of the line of fire,True,True,4/12/2022,False,Completed,1.0,,2/3/2023,2/14/2023,FFRANCE - France - Le Trait (Flexibles),TFMC611,,,,,,4858.0
50491.0,Accident,22569,Injury/Illness,2 - Minor,2.0,Exposure to activity by location (workplace),3- Possible - Activity occurs quarterly  / Occasional,3.0,8.0,Green,4.0,Green,Intelex,22569_Intelex,50491.0,30:00.0,Light arm injury,Surface,Surface International,"Hassi Messaoud Service Base, Hassi Messaoud, Algeria, Africa, TechnipFMC",NA - N/A - Non Project Specific,TECHNIPFMC PLC,"During an interior design of a container in the yard, to remove the  2 rows of handmade shelves, and replace them with industrial shelves, to do so the existing shelves need to be cut, 2 WST were instructed to execute the task. The front part of the right row shelves was removed successfully, while cutting the 1st  back bar, the second one hit the technician on his right arm under the spring effect after the grinder disc gets stuck and trying to free it, even though the injured technician was standing on side.",Uncontrolled moving objects/ parts (struck by other than machine parts and dropped objects),Construction - Installation-Operations,Not Applicable,True,True,7/25/2024,False,Completed,2.0,10/1/2024,10/1/2024,8/31/2024,N/A - Non Project Specific,TFMC350,Active,,,,,
47205.0,Near Miss,21692,Injury/Illness,3 - Significant,3.0,Probability of the undesired event,2- Unlikely - 1% to 10%,2.0,8.0,Green,2.0,Green,Intelex,21692_Intelex,,00:00.0,Dropped object - Bridge ( part of tensioner ) on POS-GRIP wellhead,Surface,Surface International,"Tananger Facility, Tananger, Norway, Europe, TechnipFMC",NA - N/A - Non Project Specific,FMC SURFACE WELLHEAD NORWAY A/S,"During POS-GRIP training. Tensioners were removed from wellhead to be moved to neighboring stud. The tensioner is removed in three steps . First puller bar, then load cell and finally the bridge. When moving the load cell the bridge sticked to the load cell. Bridge then suddenly separated and dropped to the level below. Lower level had two employees in area helping to loose the tensioners from the stud. One of the employees on the lower level was grazed by the bridge that dropped. This was approx. 1 meter drop height. The bridge landed further 1,5 meter down. No injury to the employee. No treatment",Hazard Identification & Risk Assessment,Vessel / Yards-Workshop Activities,Line of Fire - Keep yourself and others out of the line of fire,True,True,6/6/2024,False,Completed,3.0,11/5/2024,11/5/2024,6/30/2024,N/A - Non Project Specific,TFMC476,,,,,,47205.0
23856.0,Accident,21447,Environment,2 - Minor,2.0,Exposure to activity by location (workplace),2- Unlikely - Activity occurs yearly / Remote,2.0,4.0,Green,2.0,Green,Intelex,21447_Intelex,23856.0,30:00.0,Equipment Failure / Environmental - Shawcor US - Total - MozLNG - 28MAR2023 - Hose failure on forklift pipe clamp resulted in hydraulic spill,Subsea,Projects,"Energy Tower III, Houston, USA, North America, TechnipFMC",066191C002 - TOTAL GOLFINHO EPCI,SHAWCOR PIPE PROTECTION LLC,While picking up a load of pipe from the storage rack a hydraulic hose line burst causing fluid to spray onto the ground and onto the pipes it was picking up. The operator placed the pipe back down onto the stack and then reversed and parked his forklift for further inspections. No loss of control was reported by the operator. Spill control pads were placed onto the ground under the forklift to catch leaking oil and ground soil was cleaned up. 3rd party mechanic to be contacted to repair the hose. The hydraulic fluid came in contact with 31 pipes.,Equipment condition,Manufacturing-Transport / Handling / Packing,Driving - Follow safe driving rules,True,False,3/28/2023,False,Completed,2.0,,5/24/2024,6/7/2024,TPME - UAE - Dubai,TFMC609,Active,,,,,
