LIFE_SAVING_RULES,count
nan,17632
Not Applicable,2726
Line of Fire - Keep yourself and others out of the line of fire,1568
Driving - Follow safe driving rules,569
Safe Mechanical Lifting - Plan lifting operations and control the area,475
Energy Isolation - Verify isolation and zero energy before work begins,122
Hot Work - Control flammables and ignition sources,93
Bypassing Safety Controls - Obtain authorization before overriding or disabling safety controls,61
Working at Height - Protect yourself against a fall when working at height,49
Work Authorization - Work with a valid permit when required,11
Confined Space - Obtain authorization before entering a confined space,5
