RECORD_NO_LOSS_POTENTIAL_MUTATED,count
640992_Synergi,15
705352_Synergi,12
654899_Synergi,12
506425_Synergi,12
712201_Synergi,12
574515_Synergi,12
670731_Synergi,12
679741_Synergi,12
601943_Synergi,10
573010_Synergi,10
703869_Synergi,10
573331_Synergi,10
501327_Synergi,10
709530_Synergi,10
666338_Synergi,10
696041_Synergi,10
587569_Synergi,9
548004_Synergi,9
587309_Synergi,9
554184_Synergi,9
666283_Synergi,9
607106_Synergi,9
571655_Synergi,9
694778_Synergi,9
607833_Synergi,9
523512_Synergi,9
677063_Synergi,9
525790_Synergi,9
538547_Synergi,9
603344_Synergi,9
