text,count
"During receive inspection of 7 machined Top Plate KLV-8 from sub supplier,we discovered surface defects in the casting. Casting is produced at Mandal Casting. All castings is 100% checked with Ultrasonic testing. KSMV have checked some UT-Reports without any reported as defect in casting. While the part is going through an investigation, KSMV decided to move part from inspection location and forklift operator lifted the parts unsecured and drove forklift, and dropped all top plated on floor. Ope",15
A 400 lbs grease barrel was dropped off of the back of a bumper pull trailer while in route to Noble Gutterson DD30 pad site.,12
"While flowing the H-3 well,  we were shipping water to our Hess Provided Flowback Test tanks.  We have been utilizing the same two tanks for the duration of the job but at 0700 on 02/01/2021 The 3"" NPT nipple on the Inlet of Tank FT8601 began leaking.",12
"The Dodge Ram 2500 single wheel / short wheel base with steel flatbed was loaded and strapped down with a W-Industries HPU That was well over weight. The truck was leaning hard towards the back and to the driver side due to the overall weight and the placement of the accumulator bottles inside the HPU. We stopped the job and asked how much the HPU weighed. The driver of the truck stated that she was told it was 1000lbs. We knew this was incorrect so we asked the personnel that loaded the HPU and they stated that they do not have any paperwork for the HPU so they don't know. We explained to the hotshot driver that the HPU was much heavier than she was told and that it was not safe for her to travel wish this load. I reached up and pulled on part of the steel bed of the truck and the truck rocked back and forth well after I let go of the bed. The weight and CoG of this load in our opinion could have turned this truck over in a corner. I stepped away from the area and called HSE.  While awaiting HSE the truck was unloaded. The HSE personnel arrived on scene, but the truck had left by this point. We still do not know the weight of the HPU as it was weighed inside away from the area. There were also parts found on the HPU. Looks like a drops check was not performed either.",12
"What happend:_x000D_ _x000D_ During transit, a 10-meter extension to the subsea service hose were about to be put in. A service hose connection in the parking area in moon-pool was disconnected. _x000D_ _x000D_ When the connection came loose, the service hose slides over the sheave in the tower and down to deck on the other side. Two persons were set to secure and hold the hose in position. _x000D_ _x000D_ No personnel were inside the exposed drop zone. Personnel holding the hose withdraw to safe area. _x000D_ _x000D_ Fall energy is calculated to 1334 Joule. _x000D_ _x000D_ The area in the drop zone were only partly barriered off. _x000D_ _x000D_ The incident is classified with the potential of personnel injury if people were inside the drop zone._x000D_ _x000D_ The incident caused no emissions to the sea, only a limited amount of MEG from the hose and on deck._x000D_ _x000D_ Why did it happen:_x000D_ _x000D_ The hose was expected to have same weight on both side of tower. Due to MEG in hose at aft side of tower, the weight was higher than expected. This was not identified prior to commencement of work._x000D_ _x000D_ Moon-pool winch was not used to secure the hose. The winch was not available during the operation._x000D_ _x000D_ Based on assessment of winch not available and the normal weight of the hose without the MEG, it was considered sufficient with two persons holding the hose in place._x000D_ _x000D_ Insufficient risk assessment and tool-box talk before the job. The job was considered a routine operation.",12
"On 26th August at approximately 16:25, a maintenance technician was refuelling the air compressors located outside PIH area on firing line. The technician was re-fuelling whilst the generator was still running and left the gun pouring diesel whilst he checked the fuel gauge. As a result, the diesel has overflown, been sucked through the fan and covered inside and outside area of diesel, as well as diesel on the ground.",12
"While checking light towers, I noticed a large amount of Diesel had been spilled while filling the fuel tank and had flooded the bottom o the Light plant.  The exhaust runs through the bottom of the containment and could potentially cause the diesel to ignite.",12
"During normal Flowback operations, Wing valve on flow cross washed out causing a spill/environmental release",12
"March 16th, 2021 5:30am two employees were  driving back to camp after working on a customer location, each having their own vehicle. While on the way back to camp one of the employees noticed the check engine light come on, along with the front and rear ABS and parking breaks also coming on. At this time the employee started to smell smoke and pulled over to the side of the road. IT was then discovered that a fire had actually started underneath the hood of the truck. The other employee pulled over and used the fire extinguisher from his vehicle to help put out the fire on LD 4789, unfortunately it did not go out. The two employees then tried the other extinguisher from LD 4789 to try and put out the fire but once again it kept burning. After the fire continued to burn they notified both the fire department and base manager of what happened. The employees then got away from the vehicle until the fire dept. arrived on scene. The fire dept. then put out the fire and the two employees headed back to town to do report at the police station. Once complete the two employees then headed back to camp to complete paperwork and rest before heading back home. _x000D_ The truck was then scheduled by fleet to be towed back to base to investigate the issue causing the fire.",10
Part from crane fell to the floor.A small part with a weight of 128 grams fell from the engine on the crane. The height of the crane from the floor is 11.36 meters. There were no people in area where the part hit the floor.,10
