token,count
region,683
usa,603
a,561
houston,533
emia,502
nam,494
n,461
non,461
project,461
specific,461
france,453
subsea,392
uk,330
europe,301
paris,294
brazil,249
italy,241
tpit,240
rome,240
aberdeen,235
tuk,228
tpusa,215
north,187
fmcsurfsvsus,177
norway,174
rio,156
de,156
janeiro,156
tpfr,144
stlng,131
tpbrasil,131
canada,130
apac,126
ukbu,125
ffrance,122
le,122
trait,122
india,119
yamal,116
tpindialtd,116
tpnorge,108
sam,106
flexibles,101
b,96
tmos,94
sea,94
america,93
fmcsubseaserv,91
bz,85
new,84
delhi,84
malaysia,82
australia,72
umbilicals,68
lysaker,67
perth,66
fmcksubsea,66
yamgaz,62
tpoceania,59
spoolbase,58
asia,57
pacific,57
alng,53
kuala,50
lumpur,50
fmclimitedeng,50
dunfermline,45
division,41
stephenville,39
fmctbrazil,39
bzmu,38
africa,36
tui,35
flexibras,34
agotnes,32
tul,31
newcastle,31
lyon,28
fmctcanada,27
calgary,27
fmctechusa,26
angola,26
asiaflex,26
tanjung,26
langsat,26
u,26
f,26
saibu,26
vit,24
ria,24
fmcsubsea,22
ouijv,20
singapore,20
uae,19
tpfmcusa,18
kongsberg,18
abu,18
dhabi,18
angoltda,18
indonesia,17
