token,count
project,2714
a,2432
n,2358
non,2358
specific,2358
c,1490
lng,262
na,226
yamal,202
development,109
epci,109
pmc,94
tap,92
epc,91
branch,79
refinery,57
subsea,55
for,55
modernization,54
surf,54
bp,53
arctic,53
paris,53
j,52
deep,51
directorate,51
shell,46
phase,46
p,45
epcm,45
expansion,43
sasol,43
and,42
offshore,41
greece,41
plant,41
lake,40
charles,40
albania,38
t,37
develop,36
services,36
skandi,35
karish,33
ii,31
coral,30
south,28
g,27
moho,27
bmp,27
bapco,27
program,27
nord,26
mero,26
i,26
x,26
kaombo,26
gas,25
uio,25
kl,25
dec,25
reimbursable,25
field,24
unipetrol,23
polyethylene,23
litvinov,23
bahr,23
essalam,23
unit,22
azerikimya,22
total,22
sps,20
noble,20
leviathan,20
greater,20
epcic,20
o,19
construction,18
technipfmc,18
energy,18
enfield,18
powernap,18
vi,18
s,18
nht,18
do,17
onshore,17
mellitah,17
activities,17
eni,17
spoolbase,16
epcc,16
of,16
blade,16
preepcic,16
tie,16
exxonmobil,15
iepci,15
fra,15
juniper,15
