token,count
the,459
of,459
nm,455
near,416
de,415
miss,412
to,399
damage,390
a,369
c,366
project,363
on,352
from,311
in,297
non,282
during,267
and,229
fac,208
owned,199
lng,195
incident,182
dropped,182
s,170
yamal,165
minor,164
d,164
deep,160
o,157
equipment,149
aid,147
first,146
with,141
sabetta,139
injury,133
fell,126
crane,124
technip,123
while,119
finger,117
accident,116
do,114
environmental,106
vehicle,102
hand,101
tap,100
fire,97
at,96
damaged,93
x,93
object,93
pipe,92
cut,92
by,90
work,90
da,90
forklift,89
fall,87
truck,87
right,86
hydraulic,85
left,84
oil,84
no,83
property,82
ip,80
failure,77
hit,76
hose,76
release,74
base,73
case,67
related,66
leak,66
due,66
lifting,61
t,61
water,59
door,59
tfmc,59
shell,59
g,59
pressure,59
m,58
rwc,58
struck,57
into,55
skandi,55
th,54
cable,54
deck,54
off,53
p,53
arctic,53
ld,52
spill,52
over,52
lti,52
employee,51
contact,51
line,51
