token,count
construction,946
installation,673
yards,447
operations,326
manufacturing,290
vessel,251
activities,193
site,153
service,145
support,131
handling,129
marine,118
workshop,112
packing,97
transport,96
maintenance,88
other,81
assembly,73
test,73
offshore,72
warehouse,63
and,61
engineering,58
fleet,57
rigid,54
pipeline,54
storage,51
assembling,50
diving,46
commissioning,44
spoolbase,40
mechanical,38
yard,36
spool,36
base,36
fabrication,36
machine,35
shop,35
load,35
out,35
rov,33
material,33
testing,31
civil,30
structural,30
flexible,28
piping,27
traffic,27
routes,27
welding,26
pipe,26
pre,22
hse,20
services,20
technical,19
drying,17
electrical,15
sheathing,15
customer,14
logistics,14
field,13
reels,12
carrousel,12
mounting,12
termination,11
decommissioning,10
spiraling,9
piling,8
subcontracting,8
subsea,7
quality,7
procurement,7
installations,7
na,7
profiling,7
forklift,6
umbilicals,6
management,6
location,6
shipping,6
transportation,6
rig,5
laboratory,5
human,5
rental,5
tool,5
hyperbaric,5
environment,5
lifting,5
project,5
finance,5
methods,4
resources,4
armouring,4
equipment,4
security,4
structures,4
trajeto,4
execution,4
common,3
