cluster_id,cluster_size,type_entropy,type_counts
239,182,-0.0,{'entity': 182}
95,123,-0.0,{'entity': 123}
113,80,-0.0,{'entity': 80}
131,67,-0.0,{'entity': 67}
75,61,-0.0,{'entity': 61}
510,58,-0.0,{'entity': 58}
436,41,-0.0,{'entity': 41}
51,36,-0.0,{'entity': 36}
96,31,-0.0,{'entity': 31}
129,27,-0.0,{'entity': 27}
272,26,-0.0,{'entity': 26}
520,25,-0.0,{'entity': 25}
980,22,-0.0,{'entity': 22}
123,22,-0.0,{'entity': 22}
62,21,-0.0,{'entity': 21}
1038,21,-0.0,{'entity': 21}
43,21,-0.0,{'entity': 21}
132,21,-0.0,{'entity': 21}
263,19,-0.0,{'entity': 19}
9,18,-0.0,{'entity': 18}
