src,rel,dst,src_label,dst_label,row_id
node:bb051a4b-a5e9-40e5-b046-949bf3000592,ERTAKE CHEMICAL BURNERS INJURIES,node:55e24d37-edcd-4931-bc4b-5426a18ccd5d,IP,FIRST AID DOCTOR,0
node:98f5c6b8-3265-4712-8371-ddfa3b981ff5,PERSON,node:b20d7999-63eb-4373-b921-adbfd5449105,"""DRIVER (BADGE N0137)""","""ALBANIAN BUS OWNER/OPERATOR(S) OR REGULAR DRIVER OF THE ALBANIAN BUS SERVICE TO KP 143""",1
node:98f5c6b8-3265-4712-8371-ddfa3b981ff5,"PERSON""",node:972c360a-9699-44d9-8063-eba2b09004db,"""DRIVER (BADGE N0137)""","""WORKPLACE: ZOBOLTE - TIRANA FACILITY, ZOBSOLETE - TIRANA FACILITY, ZOBSOLETE - TIRANA, ZOBSOLETE - ALBANIA, EUROPE.""",2
node:a88d81c3-0df5-4baa-93ab-6024fab23f16,"""The sample broke during the test causing injury to glasses of entrance.""",node:88e90d95-cfb7-410e-abac-50949e00249c,"""ARALDIITE COMPRESSION TEST""","""SAMPLE""",3
node:a88d81c3-0df5-4baa-93ab-6024fab23f16,"""During Araldite compression test, two glasses at the entrance were broken due to sample breaking.""",node:ddef0e2b-13e6-4d49-80ee-a7c7c5990c44,"""ARALDIITE COMPRESSION TEST""","""GLASSES OF ENTRANCE""",4
node:a88d81c3-0df5-4baa-93ab-6024fab23f16,"""The client Flexi France was responsible for conducting the Araldite compression test where this incident occurred.""",node:85f92491-c522-4f6f-8013-587524812206,"""ARALDIITE COMPRESSION TEST""","""FLEXI FRANCE CLIENT""",5
node:a88d81c3-0df5-4baa-93ab-6024fab23f16,"""The Subsea Division of FFRance in Le Trait was the place where Araldite compression test took place.""",node:8de40933-7502-4696-98e6-6a52226afc5f,"""ARALDIITE COMPRESSION TEST""","""SUBSEA DIVISION - FFRANCE - LE TRAIT (FLEXIBLES)""",6
node:76e8a04e-98be-48f4-bb9e-72478c13ab6b,"""Incident occurred on this date, which is also when it happened."")",node:019b7b26-d3f2-4001-8528-c04004221ce1,"""3/4/2017""","""DATE""",7
node:85f92491-c522-4f6f-8013-587524812206,"""The Subsea Division of FFRance, located in Le Trait is the operating center corresponding to this case.""",node:8de40933-7502-4696-98e6-6a52226afc5f,"""FLEXI FRANCE CLIENT""","""SUBSEA DIVISION - FFRANCE - LE TRAIT (FLEXIBLES)""",8
node:81d5b28f-f846-4a99-a319-8e8175fb31e8,"""GEO""",node:6bd5bfee-1958-4378-a5e2-cd60dea613f2,"""FIRUZABAD""","""AURELIA""",9
node:a05a077d-8550-48a4-9ca4-56c8fa9f9f85,<relationship_description:,node:69341709-7137-4a63-b489-a342d2b89917,"""INCIDENT REPORTED ON '6/16/2018.'","""SOURCE_ENTITY"":""FIRST AID CASE_0930"", ""TARGET_ENTITY:""'IP OCCURRED INJURIES SEVERITY IS 1.0 AND CLIENT - PANIPAT REGIONAL ORGANIZATION""",10
node:37262449-8dd9-4218-9a55-53253a98ae96,ORGANIZATION,node:4f9301eb-5c07-481f-b560-c7a93e5b5e02,"""NEAR MISS INCIDENT SEVERITY ASSESSMENT""",HELMET_IMPACTS_RECORDING_SYSTEM,11
