id,label,type
node:71f58a99-b0fb-4ca5-96f4-8cfc2f27261d,FIRE BROUGHT ON BY EXCESS MATERIALS IN BRUSHING MACHINE GUARDS,<INCIDENT_TYPE
node:bb7186de-e87a-413c-8b32-ff5f8a5addb1,FORKLIFT(EQUIPMENT),EQUIPMENT
node:0fb8b6e3-946d-401e-93ab-155cccdab612,XYZ WAREHOUSE(LOCATION),LOCATION
node:80cc0c9e-592f-43d3-9caa-f8fa3239f161,"RIGHT HAND BROKEN(INJURY_TYPE,BODY PART)",INJURY_TYPE
node:df4a1475-0c78-4faf-a088-088846fcbf51,EMPLOYEE(ORGANIZATION),ORGANIZATION
node:25c4a088-9ae2-4a2f-9f7f-b123d67c0014,2024-03-15(DATE),DATE
node:6ed8ea9e-ada3-487e-b2c1-64390dd1b756,"SLIP(INCIDENT_TYPE,BODY PART)",
node:6328e70c-7287-404f-86d0-e8987538a9e2,TRUCK MANEUVERING,EQUIPMENT
node:69c531cb-37c1-4fc0-89fb-d6046571b0b9,MATERIAL ON PALLET,OBJECTS
node:2ae771e7-f27b-4fc8-bb4f-13deace5e019,COLLISION INCIDENT,INCIDENT_TYPE
node:63bb35de-4413-488f-b64c-1f35df9b43f7,MATERIAL SCRAWLING,EQUIPMENT
node:2cc58563-f7b3-4f63-a091-4e4bf622be08,MATERIAL TOWARD PALLET,OBJECTS
node:81f6195f-7ff3-4760-87df-6d84c08901f4,WORKPLACE LAYOUT/CONGESTION,
node:32cdafd2-07c0-4a9a-956c-bbcdd8ee607f,BAY-C WAREHOUSE,LOCATION
node:d89391d4-4be7-4723-9b99-36c1eb17cdcb,ABU DHABI SERVICE BASE,ORGANIZATION
node:2419d07d-e8b0-464d-ae38-7fccf01f1eef,ANIL MENON,ORGANIZATION
node:1133241e-5016-41b1-af41-febd372e9a85,NARROW FOREST OF TREES AND SHRUBS AT WAREHOUSE BACKYARD EDGE,
node:b31bcc69-de71-43d3-871e-d8e3a776f4ee,LOCATION,
node:db78a531-f226-41e4-aad3-5c243c3f54e3,ABU DHABI SERVICE BASE WAREHOUSE YARD,LOCATION
node:484a01df-437f-44d0-8ecf-1ceb02589659,2025-04-07 02:05 PM,DATE
node:120cd5fb-5a02-4d17-bf14-3db08672653d,2025-06-09 05:00.0 PM,DATE AND TIME OF CASE REPORTED AS CLOSED
node:2184ecf0-b452-4070-9505-265f1beefe2f,DATE AND TIME OF CASE REPORTED AS CLOSED,
node:d784e9aa-8746-405a-b800-5b67013cbb3b,ACCIDENTAL POPOFF,INCIDENT_TYPE
node:d7c2c0e8-a62f-4025-8e46-04de04cb069f,ESD BUTTON,EQUIPMENT
node:710f543e-8709-4900-90a9-5fb0854c6de2,SEPARATOR POPPED OFF,INCIDENT_TYPE
node:23920d0d-c9f7-4a81-afe0-28774e4a75f3,STAIRS,LOCATION
node:a47298c3-3c3b-4814-a8c6-0adea7b76e08,MINOT SERVICE BASE,LOCATION
node:799dfa99-5d3e-461f-8293-5bad33ed2b58,HESS CORPORATION,ORGANIZATION
node:0be20879-6d39-44bd-8cae-696f0c4ab016,2024-05-31,DATE
node:604d152a-8302-44bd-bf25-e17aad84f976,OFFICE BUILDING FALL,INCIDENT_TYPE
node:e19ef9a0-ebd4-4016-8571-1eba8194f3c4,SIDEWAY IN PARKING AREA,LOCATION
node:49a6ba63-efad-4234-ad1c-6be4d7542e63,MINOR ARM BRIEF ILLNESS,INJURY_TYPE
node:d3be94d3-3a8b-4848-976f-f0ebeb235023,ARM/ELBOW BRUISED AND PAINFUL,BODY_PART
node:fd9d1ed1-90d6-4c73-9b1f-d04a16fca087,SIDEWAY CAUSE OF FALL,LOCATION
node:751d2105-7319-4dd2-b6eb-e9a19b842864,OFFICE BUILDING FALL AT SIDESWAY IN PARKING AREA,OCCURRED_AT
node:f8c584ea-7474-46df-ac60-9dcefdb5e7c7,SIDEWAY,
node:66a6b599-e3c4-4e36-a700-8a95bcc36431,FMC KONGSBERG SUBSEA AS CLIENT,ORGANIZATION
node:cb3e6c9c-de0e-47da-919d-42e37413ed71,WRESHIOK INJURY,INCIDENT_TYPE
node:f844c0e6-14b1-4afb-ac25-21e7ebfd931b,HAND USED,BODY_PART
node:9dfdddf4-8494-4c02-873e-9811561d9b36,WRENCH,
