id,label,type,cluster_id,cluster_size,type_counts
node:52165be7-143e-43d1-aff2-8838063b5a46,ATHENS FACILITY,GEO,81,2,{'GEO': 2}
node:326652d5-320a-4a28-8106-70a2ce194632,ATHENS,GEO,2867,1,{'GEO': 1}
node:0b00e3e3-c7fc-4c00-94f9-d051604a5cd2,ATHENS ROME INC.,ORGANIZATION,2889,1,{'ORGANIZATION': 1}
node:bb051a4b-a5e9-40e5-b046-949bf3000592,IP,PERSON,3362,1,{'PERSON': 1}
node:55e24d37-edcd-4931-bc4b-5426a18ccd5d,FIRST AID DOCTOR,EQUIPMENT/SERVICE PROVIDER,2958,1,{'EQUIPMENT/SERVICE PROVIDER': 1}
node:82de58ec-497c-4ae2-9011-8dbdb8f3f58f,"IP'S DATA REPORTED ON 15/24/12/2016 - CLOSED CHEMICAL BURNER INJURIES CASE- FIRST AID CASE INJURY ON DEEP ARCTIC, ABERDEEN TUK DAY AND SHIFT – MARINE OPERATIONS WORK PROCESS",THE CASE WAS REPORTED AT THE WORKPLACE: ABERDEEN DOCKS LEICH RISK OF CHEMICAL BURN)X0  THE SYNERGI_CREATION-INR,3287,1,{'THE CASE WAS REPORTED AT THE WORKPLACE: ABERDEEN DOCKS LEICH RISK OF CHEMICAL BURN)X0  THE SYNERGI_CREATION-INR': 1}
node:c27bf2b9-5779-49b5-8599-4212ba9afd54,"""IP""","""PERSON""",2810,1,"{'""PERSON""': 1}"
node:43b7493d-5963-4e24-b832-ea3c5ecc7381,"""SCOPE OF INCIDENT""","""NEAR MISSED""",1976,1,"{'""NEAR MISSED""': 1}"
node:fec81a4b-37e8-4a70-8139-118d88716a97,"""FIRE INCIDENT AT CUTBACK STATION OF PLANT 2""",<INCIDENT_TYPE,1836,1,{'<INCIDENT_TYPE': 1}
node:1ed6e894-0300-464d-8874-1552611f6501,"""CCB-20""","""LOCATION""",3108,1,"{'""LOCATION""': 1}"
node:0d3e0d34-39ac-45c2-bc49-a0c66f38de56,"""SHAMILOV GABDASOV, LLC SNEMA SERVICE'S WIREMAN""","""PERSON""",3187,1,"{'""PERSON""': 1}"
node:ea77dde8-4854-42f5-ab0b-a26e4e9e04dd,"""DUMP TRUCK BODY SIDE""","""BODY_PART""",2421,1,"{'""BODY_PART""': 1}"
node:7be096b3-bcf5-4957-971a-0eede5bb3bf6,SABETTA CLINIC,ORGANIZATION,2287,1,{'ORGANIZATION': 1}
