incident_id,source,description,target,text_unit_id,relationship_id,document_id
16,NEAR MISS 16 - NM - TEST FLEXI FRANCE,INVOLVED,FLEXI FRANCE,08f16096acd5a0320952f82da10f7fede4bd9ef825d98cfef0eb5bacd4fc7a5f722bb3abe95056d7ac66d17fdf772ff149a62ab66d2c9a852ee0557c02b07a18,b5777f22-4b27-4429-9943-5b976c63658f,fdadeedef7759e8aaa8a00d0f2439a2285243865cef2882d19210c32273d2f80593be5047c6539093b43758e4ce37ede7d09c2d37495410c2906c42a2243ecb9
16,NEAR MISS 16 - NM - TEST FLEXI FRANCE,OCCURRED_AT,1/17/2022,08f16096acd5a0320952f82da10f7fede4bd9ef825d98cfef0eb5bacd4fc7a5f722bb3abe95056d7ac66d17fdf772ff149a62ab66d2c9a852ee0557c02b07a18,376fca65-03f4-4445-b24a-bbe4e9265b1d,fdadeedef7759e8aaa8a00d0f2439a2285243865cef2882d19210c32273d2f80593be5047c6539093b43758e4ce37ede7d09c2d37495410c2906c42a2243ecb9
16,NEAR MISS 16 - NM - TEST FLEXI FRANCE,OCCURRED_AT,"LE TRAIT, FRANCE",08f16096acd5a0320952f82da10f7fede4bd9ef825d98cfef0eb5bacd4fc7a5f722bb3abe95056d7ac66d17fdf772ff149a62ab66d2c9a852ee0557c02b07a18,8d876eb5-7e6a-4c9c-8f5f-0e5fc4f03f44,fdadeedef7759e8aaa8a00d0f2439a2285243865cef2882d19210c32273d2f80593be5047c6539093b43758e4ce37ede7d09c2d37495410c2906c42a2243ecb9
19,ACCIDENT 19 - EQUIPMENT DAMAGE (MOORING ROPE ENTAANGLED WITH THRUSTER T1),INVOLVED,PREVAILING WEATHER CONDITIONS WERE SETTING THE VESSEL OFF THE QUAYSIDE,0d672854a6a74b3fe6ff511203d04ee9d5b63d38e8a2799404ad3a121a98b6dca5567fae9f95d9708478959f2b8b1795b9eb28a41fcfe4b0d8a5392316fb65e3,c023fd91-7df0-4757-98b5-7675061d2b84,d2d8ca984ef41aa9cf0a3dddac35754485f2df5b59851e1e3294411a9a70c9a134ec9af3d3d1101d41fbd5a4e2d2eccfdb249d17eab2e69865c26db1649b6f98
19,ACCIDENT 19 - EQUIPMENT DAMAGE (MOORING ROPE ENTAANGLED WITH THRUSTER T1),INVOLVED,CALDIVE HAVE BEEN CONTRACTED TO ATTEND THE VESSEL ON THE EVENING TIDE TO REMOVE THE DAMAGED MOORING ROPE,0d672854a6a74b3fe6ff511203d04ee9d5b63d38e8a2799404ad3a121a98b6dca5567fae9f95d9708478959f2b8b1795b9eb28a41fcfe4b0d8a5392316fb65e3,26236bc9-0361-469a-b27b-f521f6360c95,d2d8ca984ef41aa9cf0a3dddac35754485f2df5b59851e1e3294411a9a70c9a134ec9af3d3d1101d41fbd5a4e2d2eccfdb249d17eab2e69865c26db1649b6f98
19,ACCIDENT 19 - EQUIPMENT DAMAGE (MOORING ROPE ENTAANGLED WITH THRUSTER T1),INVOLVED,"UPON SLACKING BACK OF THE FIRST SPRING LINE, THE MOORING LINE WAS RELEASED BY THE LINESMAN INTO THE WATER AND QUICKLY SUBMERGED",0d672854a6a74b3fe6ff511203d04ee9d5b63d38e8a2799404ad3a121a98b6dca5567fae9f95d9708478959f2b8b1795b9eb28a41fcfe4b0d8a5392316fb65e3,ac2bbefb-aaf6-4fe7-ac0c-636e22f15091,d2d8ca984ef41aa9cf0a3dddac35754485f2df5b59851e1e3294411a9a70c9a134ec9af3d3d1101d41fbd5a4e2d2eccfdb249d17eab2e69865c26db1649b6f98
19,ACCIDENT 19 - EQUIPMENT DAMAGE (MOORING ROPE ENTAANGLED WITH THRUSTER T1),INVOLVED,"AS THE PIC IN THE FOCSLE WAS IN THE PROCESS OF REPORTING THIS TO THE BRIDGE, A POWER LIMIT ALARM WAS RECEIVED ON THE BRIDGE WING THRUSTER OPERATOR PANEL",0d672854a6a74b3fe6ff511203d04ee9d5b63d38e8a2799404ad3a121a98b6dca5567fae9f95d9708478959f2b8b1795b9eb28a41fcfe4b0d8a5392316fb65e3,248e2bd7-01de-4d00-8e85-89078f95bcbf,d2d8ca984ef41aa9cf0a3dddac35754485f2df5b59851e1e3294411a9a70c9a134ec9af3d3d1101d41fbd5a4e2d2eccfdb249d17eab2e69865c26db1649b6f98
19,ACCIDENT 19 - EQUIPMENT DAMAGE (MOORING ROPE ENTAANGLED WITH THRUSTER T1),INVOLVED,"THE VESSEL WAS RE-MOORED ALONGSIDE AND WITH THE THRUSTERS STOPPED, THE ASSISTING MOORING BOAT WAS CALLED AND OBSERVED THE MOORING ROPE PARTIALLY ENTAANGLED IN THE THRUSTER",0d672854a6a74b3fe6ff511203d04ee9d5b63d38e8a2799404ad3a121a98b6dca5567fae9f95d9708478959f2b8b1795b9eb28a41fcfe4b0d8a5392316fb65e3,273bbe47-c84d-4806-b39d-2f728e4210ca,d2d8ca984ef41aa9cf0a3dddac35754485f2df5b59851e1e3294411a9a70c9a134ec9af3d3d1101d41fbd5a4e2d2eccfdb249d17eab2e69865c26db1649b6f98
19,ACCIDENT 19 - EQUIPMENT DAMAGE (MOORING ROPE ENTAANGLED WITH THRUSTER T1),INVOLVED,"AFTER COMPLETION, THE VESSEL WAS TO BE MANEUVERED OFF THE QUAY",0d672854a6a74b3fe6ff511203d04ee9d5b63d38e8a2799404ad3a121a98b6dca5567fae9f95d9708478959f2b8b1795b9eb28a41fcfe4b0d8a5392316fb65e3,2ab8fbca-99d0-4ace-84ec-b0b67dba5938,d2d8ca984ef41aa9cf0a3dddac35754485f2df5b59851e1e3294411a9a70c9a134ec9af3d3d1101d41fbd5a4e2d2eccfdb249d17eab2e69865c26db1649b6f98
19,ACCIDENT 19 - EQUIPMENT DAMAGE (MOORING ROPE ENTAANGLED WITH THRUSTER T1),INVOLVED,VESSEL,0d672854a6a74b3fe6ff511203d04ee9d5b63d38e8a2799404ad3a121a98b6dca5567fae9f95d9708478959f2b8b1795b9eb28a41fcfe4b0d8a5392316fb65e3,d3f64e95-9751-42d4-9b50-c38cf6d643b8,d2d8ca984ef41aa9cf0a3dddac35754485f2df5b59851e1e3294411a9a70c9a134ec9af3d3d1101d41fbd5a4e2d2eccfdb249d17eab2e69865c26db1649b6f98
19,ACCIDENT 19 - EQUIPMENT DAMAGE (MOORING ROPE ENTAANGLED WITH THRUSTER T1),INVOLVED,TECHNIPFMC ISLAND OFFSHORE SUBSEA UK LTD,0d672854a6a74b3fe6ff511203d04ee9d5b63d38e8a2799404ad3a121a98b6dca5567fae9f95d9708478959f2b8b1795b9eb28a41fcfe4b0d8a5392316fb65e3,cc6e63c9-e3db-43d2-8d1c-17d0979060a0,d2d8ca984ef41aa9cf0a3dddac35754485f2df5b59851e1e3294411a9a70c9a134ec9af3d3d1101d41fbd5a4e2d2eccfdb249d17eab2e69865c26db1649b6f98
19,ACCIDENT 19 - EQUIPMENT DAMAGE (MOORING ROPE ENTAANGLED WITH THRUSTER T1),OCCURRED_AT,01/14/2022,0d672854a6a74b3fe6ff511203d04ee9d5b63d38e8a2799404ad3a121a98b6dca5567fae9f95d9708478959f2b8b1795b9eb28a41fcfe4b0d8a5392316fb65e3,a6134396-22f9-4db2-9f1d-d2e83a16e2d4,d2d8ca984ef41aa9cf0a3dddac35754485f2df5b59851e1e3294411a9a70c9a134ec9af3d3d1101d41fbd5a4e2d2eccfdb249d17eab2e69865c26db1649b6f98
