id,label,type
node:f16d2b3cf78c5bec,protection,entity
node:31c7a3b75acf66ed,torn,entity
node:cfa028497c4dc47a,fall-through protection,entity
node:829684e8a2806bff,its fastening,entity
node:40817207e005bdf5,Pallets cages,entity
node:034f0ffc16ba0fb1,stored incorrectly,entity
node:9b2811fdb8798f80,stored,entity
node:31293efe993c24ad,impact,entity
node:1c1b1bd9d2192d38,Damage,entity
node:94894d0480830370,type,entity
node:1a345cef2abea8d3,severity value,entity
node:30b402df5de31446,2.0,entity
node:f65bceae9e1f5084,description,entity
node:f9d5f765546f2696,Exposure,entity
node:3a6b50ed4095dd4c,activity by location,entity
node:107af1ad6cd438ad,activity,entity
node:93f0ff3210061310,Exposure to activity,entity
node:0ceb2ed48a6b1d28,Exposure to activity by location,entity
node:51b261e0c76bbef8,weekly,entity
node:b66ca7b81154bd22,value,entity
node:ee61f61ead7008d8,5.0,entity
node:8987dddee8db0aa6,criticality,entity
node:30a3d0c53ccd6c66,32.0,entity
node:6ad8136021b8f634,risk color,entity
node:18769c6ca5c2e6a5,Yellow,entity
node:ecbe613e47a50e47,16.0,entity
node:688608fa38c6d97c,mitigated risk color,entity
node:ebd9f7059080901b,system,entity
node:150a24f7bf3f4ae1,Intelex,entity
node:1dc98cc9a40e5a79,date,entity
node:31e9e722cb510113,2023-07-06 00:00:00.000,entity
node:9e0a3afd66f4fadf,case,entity
node:d1f0380090667598,Diarrhea protection,entity
node:f02496fb1c3a429d,title,entity
node:4233d95cc418823b,Diarrhea protection hit by shelf,entity
node:d8ff56e83e8cf384,Diarrhea protection hit,entity
node:afc97a12f07d4317,General Business Unit involved,entity
node:50ab6bc779fa9600,Surface,entity
node:c6266c80782ca872,General Business Unit,entity
node:efb0833c3b6eb969,specific Business Unit,entity
node:f4173d42442efd27,Production Solutions,entity
node:02b2c2d0700811c7,Business Unit,entity
node:07c2fc087cd38657,workplace,entity
node:5322bd41eb35fa05,name,entity
node:a5e8d30551a7cb72,Non Project Specific,entity
node:99ac13c2bb0f4fc7,client,entity
node:37073c22143d518f,SMITH METER GMBH,entity
node:d9d10f1dc86defd4,case categorization,entity
node:562a614a62bfbd0f,Standard Operating Procedures,entity
node:3b6a4b81911bbbd9,Operating Procedures,entity
node:f4fb9429ef1c1c5d,work process,entity
node:8dac4b27874f4313,Construction,entity
node:6d240c58fba3263c,2023-07-07,entity
node:e2c8705aee880200,reported,entity
node:8045bc4ef3beffa2,status,entity
node:4082fc94e32df0e3,Completed,entity
node:fd062c23cbff59ef,loss potential severity,entity
node:f59c096b3321a5ef,incident,entity
node:a34062f22795c56d,when reported,entity
node:f11aa01a8fad5b50,closed,entity
node:3dc2d5f80ef9d4ee,operating center,entity
node:a0966374f0a560d8,selected incident,entity
node:802123272b9534ca,TFMC444,entity
node:2809263c1552cd5a,location code,entity
node:44ad6ef303383e12,pressure jets,entity
node:7e1a0ff346b7dc52,breakdown,entity
node:79e76a98b4cee14c,high pressure jets,entity
node:70bdaf98a9b48073,for technical reasons breakdown,entity
node:9c07575a2479b2a1,for reasons breakdown,entity
node:020e795eb78fe3eb,we,entity
node:456e2d4bcaf3e75e,yesterday,entity
node:5882d3fb9a040cf2,tensioner pads situation,entity
