subject,predicate,object,original_text
Contractor,hit,pickup,Abu Dhabi - ICAD Base - Contractor - hit a windo glass pickup
FST,experience,Symptoms,FST experienced Symptoms of Heat illness- Abu Dhabi - UAE
IP,hit,leg,IP hit his leg against an anode located on the lower tree frame of an XT whilst walking round the XT in the hydro test booth.
member,trap,finger,FAC (First Aid Case)  - 071259C001 Coral FLNG - Skandi Vitoria - 11 May 2022 – Crew member trapped his left index finger in watertight door
Person,feel,light,FAC- Person felt light headed and collapsed
Person,sustain,cut,Person sustained cut to finger
diesel,do,contenção,Vazamento de óleo diesel do compressor de subcontratada para bacia de contenção
Case,strike,finger,Minor First Aid Case -IP struck finger with hammer
spill,break,tool,Environmental spill from AKER break out tool
spill,break,stabbing,Subsea Environmental spill break out tool stabbing
tool,suffer,failure,Subsea Environmental AKER stroking tool suffers failure
S3,release,5Ltrs,Minor Environmental -  Shell Tellus S3 released 5Ltrs from the hot stab dummy
IP,suffer,fracture,IP suffers fracture to finger on left hand - 23 MOS 514- 21/09/2023
cut,leave,finger,"Accident - MTI - Houston Gremp Campus - S07 - Low Bay - February 10, 2022 - Employee cut left index finger while closing tripod"
Jumper,make,contact,"Equipment Damage - TOFCO Yard, Trinidad - 7/24/2024 - ITA Jumper makes contact with Jumper Transportation Stands"
Forklift,contact,spool,Non-TFMC owned - Equipment Damage - ExxonMobil Yellowtail EPC2 - Acadian Contractors - 20 February 2024 - Forklift contacted pipe spool causing it to roll until the valve contacted the ground
valve,contact,ground,Non-TFMC owned - Equipment Damage - ExxonMobil Yellowtail EPC2 - Acadian Contractors - 20 February 2024 - Forklift contacted pipe spool causing it to roll until the valve contacted the ground
Engineer,scald,shins,"FAT, Engineer scalded both shins whilst operating vent valve"
crane,contact,slings,Non-TFMC owned - Equipment Damage - EM Yellowtail EPC2 - InterMoor (subcontractor) - 03 October 2023 - Overhead crane contacted wire rope slings - Low
motocicleta,do,accident,"Acidente de motocicleta a caminho do trabalho
Motorcycle accident while commuting to work"
TSP,get,leg,TSP gets leg caught in between lubricator and floor
Vehicle,tip,side,"Vehicular incident - Vehicle tipped over its side while in transit to field location in Añelo, Argentina."
Employer,scratch,cornea,TPIT Rome H.O. - Employer scratched the cornea
Seagull,get,metal,First Aid Case - Neptune Seagull (075479C002) - Normand Mermaid - 22.10.2020 - Rigger / Welder got molten metal in left ear
thumb,leave,hand,Light contusion thumb left hand
IP,feel,pain,Medical Treatment Case - Non-TFMC owned - ExxonMobil GTE EPC3 - IP felt back pain while loading luggage into the heliport transfer shuttle
Project,part,cable,"FMB Project, Parted Temperature cable"
Employee,sustain,Injury,"Fort St John - May 8, 2018 - Employee Sustained a Shoulder Injury on Client Field Site During Work Tasks."
IP,sustain,burn,IP sustained a burn to the wrist
IP,lose,balance,"RWC 10 - BMP - Bahrain - 12.01.2022 - IP foot got stuck inside the rebar mesh. IP lost his balance, and his left-hand rest on the rebar"
Piece,crack,board,11/16/16 - Piece of steel cracked a board on the trailer as it was being loaded
jib,catch,cover,Mobile crane jib caught paint booth roller door cover and caused it to fall to the ground
IP,pull,chain,"FAC - 61402S - Zeebrugge/BISY - 17/09/16 - IP pull a chain, the chain slip, IP hit behind his head on a steel frame"
employee,feel,pain,FAC - None-work related - An employee has felt a pain in his back
-Docker,lose,balance,FAC - 61402S - Zeebrugge/BISY - 2/07/16 -Docker lost balance while unlashing and hurt himself
Pontal,do,teve,"MTI - P76 Project - Brasil Pontal do Paranà - Preliminary - 01/08/2016 - Colaborador teve seu dedo prensado entre spool e corrimão _x000D_
_x000D_
MTI - P76 Project - Brasil Pontal do Paranà - Preliminary - 01/08/2016 - A worker got his finger sqeezed between spool and handrail"
Employee,feel,pop,Non Technip Owned - Non Work Related -  Restricted Work Case (RWC) - BP Juniper - Juniper Platform - Feb 27 2017 -  Employee felt pop and pain in back
Employee,back,truck,Employee backed truck into pillar
Spitzer,roll,Low,Non-TFMC owned - Equipment Damage - EM Payara - Spitzer HFD - 02 June 2021 - Connector Rolled Off Pallet - Low
tray,hit,side,PIG loading tray hit the side of the building.
IP,sustain,cut,FAT - 071259C001 - ENI Coral - 09.10.21 - Deep Explorer - IP sustained a cut to the forehead.
DUSLO,CPAVOK,cable,Damage-065806C001 - 02522 - DUSLO CPAVOK 4-Slovakia-26/07/2017-Burned instrument cable due to welding machine clamp on the cable tray
forklift,push,ground,MDA - 61402S - Zeebrugge/MISY - 12/14/16 - forklift pushed cable drum from trailerto the ground
Pontal,do,grau,"MTI - P76 Project - Brasil Pontal do Paraná - 27/07/2016 - Queimadura de 2º grau na região do pescoço_x000D_
_x000D_
MTI- P76 Project - Brasil Pontal do Paraná - 27/07/2016 - 2° degree burn on the neck"
Pontal,do,burn,"MTI - P76 Project - Brasil Pontal do Paraná - 27/07/2016 - Queimadura de 2º grau na região do pescoço_x000D_
_x000D_
MTI- P76 Project - Brasil Pontal do Paraná - 27/07/2016 - 2° degree burn on the neck"
