src,rel,dst,src_label,dst_label,row_id
1,,2,rov,pry bar,1
1,return,2,rov,pry bar,2
1,drop,2,rov,pry bar,3
3,occur,4,activity,remote,4
5,drop,2,title,pry bar,5
6,save,7,life,rules,6
8,follow,9,tfmc panel operator,end,7
10,follow,11,serimax collaborators,middle end,8
12,hear,13,noise,occurrence,9
8,move,13,tfmc panel operator,occurrence,10
12,check,13,noise,occurrence,11
14,accompany,11,supervisor,middle end,12
15,arrive,13,spot,occurrence,13
8,move,13,tfmc panel operator,occurrence,14
15,check,13,spot,occurrence,15
14,accompany,16,supervisor,case,16
6,save,17,life,rules bypassing obtain authorization,17
18,transport,19,t forklift,cabin basket,18
6,save,7,life,rules,19
20,hit,21,leg,staircase,20
20,,22,leg,bruise,21
6,save,7,life,rules,22
6,save,7,life,rules,23
23,,24,crate,damages,24
6,save,7,life,rules,25
25,ascend,26,ip,stairs,26
3,occur,27,activity,less,27
6,save,7,life,rules,28
28,make,29,office worker,food,29
30,involve,31,that,boiling water,30
25,squeeze,32,ip,pot,31
33,,34,action,water overflow,32
6,save,7,life,rules,33
30,leave,35,that,mm excess,34
6,save,7,life,rules,35
36,hit,37,vehicle,back,36
6,save,7,life,rules,37
38,collect,39,co2 extinguisher,tpu panel,38
40,,41,half,to smother the flames,39
6,save,7,life,rules,40
42,contact,43,challenger 28may2023 load,crane walkway,41
6,save,7,life,rules,42
44,set,45,employees,workstation,43
46,grab,47,employee,cardboard box,44
46,fill,48,employee,it,45
49,send,44,hse supervisor,employees,46
6,save,7,life,rules,47
50,transport,51,technician,pallet,48
52,fall,53,one,forklift,49
52,run,53,one,forklift,50
6,save,7,life,rules,51
54,lay,55,nsa,static,52
56,hear,57,- contractor,something drop,53
56,see,58,- contractor,nut,54
58,land,59,nut,frame,55
58,slid,59,nut,frame,56
58,weigh,60,nut,grams,57
58,fall,61,nut,distance,58
62,show,63,drops calculator,this,59
3,occur,4,activity,remote,60
6,save,7,life,rules,61
64,flush,65,medic,eye,62
64,provide,66,medic,otc pain medication,63
67,report,68,2/22/2022 ip,improvement,64
3,occur,4,activity,remote,65
6,save,7,life,rules,66
69,access,70,she,socket,67
71,replace,72,floor port cover,cover,68
71,leave,72,floor port cover,cover,69
69,adjust,73,she,chair,70
20,contact,74,leg,lip,71
63,raise,75,this,issue,72
6,save,7,life,rules,73
76,roll,77,crew member,ankle,74
78,send,79,who,him,75
80,involve,81,incident,injury,76
80,,82,incident,potential,77
80,involve,83,incident,damage,78
77,access,84,ankle,deck,79
6,save,7,life,rules,80
50,start,85,technician,process,81
86,start,87,hse,interviews,82
48,appear,87,it,interviews,83
88,show,83,observation,damage,84
89,shall_distribute,9,report,end,85
6,save,7,life,rules,86
46,,90,employee,discomfort,87
6,save,7,life,rules,88
91,,92,alguns materiais,palete,89
93,hit,20,he,leg,90
94,cause,81,which,injury,91
6,save,7,life,rules,92
50,change,95,technician,propane tank,93
50,turn,96,technician,fitting,94
6,save,7,life,rules,95
6,save,7,life,rules,96
6,save,7,life,rules,97
94,cause,97,which,damage damage,98
98,,99,area,footprint,99
6,save,7,life,rules,100
100,leave,101,worker,forearm,101
100,go,102,worker,aid,102
100,receive,102,worker,aid,103
6,save,7,life,rules,104
103,discuss,104,lead,way,105
105,begin,106,team,rig,106
105,lift,107,team,rig zipper valve,107
105,secure,108,team,zipper valve,108
109,hitch,110,valve,slack,109
109,,110,valve,slack,110
109,create,110,valve,slack,111
111,stop,112,lead tech,work,112
6,save,7,life,rules,113
113,break,114,robbers,glass,114
113,open,115,robbers,door,115
116,take,117,they,board,116
6,save,7,life,rules,117
118,find,119,operator,leakage,118
120,enter,121,05ltres,water,119
6,save,7,life,rules,120
122,remove,123,fst,cap,121
6,save,7,life,rules,122
124,carry,125,fire teams,areas,123
116,identify,126,they,fire,124
6,save,7,life,rules,125
93,receive,127,he,burn,126
63,result,102,this,aid,127
63,require,102,this,aid,128
3,occur,128,activity,frequent,129
6,save,7,life,rules,130
3,occur,27,activity,less,131
6,save,7,life,rules,132
129,carry,130,rov team,testing,133
131,replace,132,crane tech,hose,134
131,carry,133,crane tech,inspection,135
134,lose,135,fluid,design,136
98,bunde,135,area,design,137
6,save,7,life,rules,138
25,conduct,136,ip,maintenance,139
25,conduct,136,ip,maintenance,140
93,descend,137,he,ladder system,141
25,visit,64,ip,medic,142
25,return,64,ip,medic,143
138,,64,request,medic,144
139,advise,140,hsea,captain,145
