id,label,type
1,rov,Other
2,pry bar,Other
3,activity,Other
4,remote,Other
5,title,Other
6,life,Other
7,rules,Other
8,tfmc panel operator,Other
9,end,Other
10,serimax collaborators,Other
11,middle end,Other
12,noise,Other
13,occurrence,Other
14,supervisor,Other
15,spot,Other
16,case,Other
17,rules bypassing obtain authorization,Other
18,t forklift,Other
19,cabin basket,Other
20,leg,Other
21,staircase,Other
22,bruise,Other
23,crate,Other
24,damages,Other
25,ip,Other
26,stairs,Other
27,less,Other
28,office worker,Other
29,food,Other
30,that,Other
31,boiling water,Other
32,pot,Other
33,action,Other
34,water overflow,Other
35,mm excess,Other
36,vehicle,Other
37,back,Other
38,co2 extinguisher,Other
39,tpu panel,Other
40,half,Other
41,to smother the flames,Other
42,challenger 28may2023 load,Other
43,crane walkway,Other
44,employees,Other
45,workstation,Other
46,employee,Other
47,cardboard box,Other
48,it,Other
49,hse supervisor,Other
50,technician,Other
51,pallet,Other
52,one,Other
53,forklift,Other
54,nsa,Other
55,static,Other
56,- contractor,Other
57,something drop,Other
58,nut,Other
59,frame,Other
60,grams,Other
61,distance,Other
62,drops calculator,Other
63,this,Other
64,medic,Other
65,eye,Other
66,otc pain medication,Other
67,2/22/2022 ip,Other
68,improvement,Other
69,she,Other
70,socket,Other
71,floor port cover,Other
72,cover,Other
73,chair,Other
74,lip,Other
75,issue,Other
76,crew member,Other
77,ankle,Other
78,who,Other
79,him,Other
80,incident,Other
81,injury,Other
82,potential,Other
83,damage,Other
84,deck,Other
85,process,Other
86,hse,Other
87,interviews,Other
88,observation,Other
89,report,Other
90,discomfort,Other
91,alguns materiais,Other
92,palete,Other
93,he,Other
94,which,Other
95,propane tank,Other
96,fitting,Other
97,damage damage,Other
98,area,Other
99,footprint,Other
100,worker,Other
101,forearm,Other
102,aid,Other
103,lead,Other
104,way,Other
105,team,Other
106,rig,Other
107,rig zipper valve,Other
108,zipper valve,Other
109,valve,Other
110,slack,Other
111,lead tech,Other
112,work,Other
113,robbers,Other
114,glass,Other
115,door,Other
116,they,Other
117,board,Other
118,operator,Other
119,leakage,Other
120,05ltres,Other
121,water,Other
122,fst,Other
123,cap,Other
124,fire teams,Other
125,areas,Other
126,fire,Other
127,burn,Other
128,frequent,Other
129,rov team,Other
130,testing,Other
131,crane tech,Other
132,hose,Other
133,inspection,Other
134,fluid,Other
135,design,Other
136,maintenance,Other
137,ladder system,Other
138,request,Other
139,hsea,Other
140,captain,Other
141,fact finding,Other
142,witness account form,Other
143,vessel,Other
144,time,Other
145,increase,Other
146,site medic,Other
147,/wash,Other
148,eye drop,Other
149,incident description vessel,Other
150,transfer,Other
151,uta,Other
152,to stbside,Other
153,piso,Other
154,tapete facilitando queda,Other
155,no houve o colaborador,Other
156,desempenhando suas funes,Other
157,carpet,Other
158,fall,Other
159,cut,Other
160,to perform his duties,Other
161,apos sair,Other
162,banho,Other
163,°,Other
164,rigging team,Other
165,haul rigging,Other
166,head clamp,Other
167,position,Other
168,rigging hit did,Other
169,degrees,Other
170,line,Other
171,turno diurno,Other
172,head,Other
173,da jfl,Other
174,estava prendendo,Other
175,pequeno dano,Other
176,actions,Other
177,job,Other
178,control,Other
179,o rigging,Other
180,inspeo inicial,Other
181,caiu resultado,Other
182,incidente,Other
183,pelo system supervisor,Other
184,foram registrados,Other
185,fork,Other
186,door rail,Other
187,entrance,Other
188,working without realizing it,Other
189,truck,Other
190,vehicle obstacles,Other
191,day leave,Other
192,durante o,Other
193,navio,Other
194,pipe coupons,Other
195,trailer,Other
196,turn,Other
197,jh walker,Other
198,wrecker service,Other
199,nut puller pipe,Other
200,transitions pipes,Other
201,device,Other
202,metal pins,Other
203,shepherd offshore,Other
204,site,Other
205,lady,Other
206,stop sign,Other
207,painel,Other
208,x que,Other
209,que rov tenha,Other
210,jumper sem perceber quebra,Other
211,receptáculo estacionamento,Other
212,safety system,Other
213,1g manlift,Other
214,wall,Other
215,deck a,Other
216,footing,Other
217,vessel medic,Other
218,reevaluation hse e cliente,Other
219,médico da embarcao,Other
220,dia de fevereiro incident,Other
221,no incident,Other
222,no,Other
223,controls,Other
224,handrail,Other
225,safety officer,Other
226,durante,Other
227,be hoisting beam be,Other
228,que foi,Other
229,convés,Other
230,equipe,Other
231,acionada para,Other
232,deck crew,Other
233,drip,Other
234,group,Other
235,tasks,Other
236,compaer,Other
237,manipulation,Other
238,fingers,Other
239,company vehicle ld5571,Other
240,deer,Other
241,x - ray result,Other
242,doctor,Other
243,task,Other
244,surrounding,Other
245,plate stopper,Other
246,i,Other
247,myself,Other
248,others,Other
249,monitors,Other
250,site cleanup,Other
251,ucon basket,Other
252,splash zone,Other
253,crane operator,Other
254,bringing it onboard,Other
255,contact,Other
256,universal,Other
257,eixo cardam,Other
258,estava em contato,Other
259,da caixa,Other
260,no teria como,Other
261,voltagem,Other
262,nenhumaconsequência grave,Other
263,arm,Other
264,energy leak,Other
265,outpatient care,Other
266,consequences,Other
267,tool,Other
268,setup table,Other
269,laceration,Other
270,umbilical,Other
271,spots,Other
272,section,Other
273,photos,Other
274,basculante dans,Other
275,benne,Other
276,lift,Other
277,ratchet strap,Other
278,strap,Other
279,seal stab trip,Other
280,monitor cover,Other
281,treatment,Other
282,control device,Other
283,accident_vehicle collision acesso,Other
284,we,Other
285,fixation,Other
286,collaborator,Other
287,finger,Other
288,fraction,Other
289,tls un -,Other
290,tensioner,Other
291,2100hrs tls,Other
292,oil,Other
293,spill mats granules sausages,Other
294,safety glasses,Other
295,psv,Other
296,loss,Other
297,bow thruster,Other
298,failure,Other
299,ld3657 company truck,Other
300,to use it,Other
301,hd52 sensors,Other
302,oil loss,Other
303,to deck,Other
304,once rov,Other
305,inspection it,Other
306,check valves,Other
307,checks operation,Other
308,valves,Other
309,checks,Other
310,operation,Other
311,contractors,Other
312,nmc molds,Other
313,lbs,Other
314,pain,Other
315,b14 mti technician,Other
316,utility knife,Other
317,stitches,Other
318,eye protection,Other
319,protection,Other
320,grinder,Other
321,party rigger,Other
322,devices crane operator,Other
323,cab,Other
324,rigger,Other
325,tfmc fst,Other
326,to do it,Other
327,studs,Other
328,flange,Other
329,man basket,Other
330,load,Other
331,to swing,Other
