id,label,type,cluster_id,cluster_size,type_counts
1,rov,Other,29927,1,{'Other': 1}
2,pry bar,Other,28377,1,{'Other': 1}
3,activity,Other,32071,1,{'Other': 1}
4,remote,Other,25167,1,{'Other': 1}
5,title,Other,25527,1,{'Other': 1}
6,life,Other,24322,1,{'Other': 1}
7,rules,Other,19719,1,{'Other': 1}
8,tfmc panel operator,Other,26921,1,{'Other': 1}
9,end,Other,26760,1,{'Other': 1}
10,serimax collaborators,Other,17843,1,{'Other': 1}
11,middle end,Other,22832,1,{'Other': 1}
12,noise,Other,30967,1,{'Other': 1}
13,occurrence,Other,30968,1,{'Other': 1}
14,supervisor,Other,482,2,{'Other': 2}
15,spot,Other,24244,1,{'Other': 1}
16,case,Other,30356,1,{'Other': 1}
17,rules bypassing obtain authorization,Other,24959,1,{'Other': 1}
18,t forklift,Other,25644,1,{'Other': 1}
19,cabin basket,Other,18325,1,{'Other': 1}
20,leg,Other,30100,1,{'Other': 1}
21,staircase,Other,31609,1,{'Other': 1}
22,bruise,Other,30912,1,{'Other': 1}
23,crate,Other,562,2,{'Other': 2}
24,damages,Other,31916,1,{'Other': 1}
25,ip,Other,28157,1,{'Other': 1}
26,stairs,Other,31706,1,{'Other': 1}
27,less,Other,20057,1,{'Other': 1}
28,office worker,Other,29845,1,{'Other': 1}
29,food,Other,16882,1,{'Other': 1}
30,that,Other,31841,1,{'Other': 1}
31,boiling water,Other,28215,1,{'Other': 1}
32,pot,Other,28548,1,{'Other': 1}
33,action,Other,31941,1,{'Other': 1}
34,water overflow,Other,23784,1,{'Other': 1}
35,mm excess,Other,16296,1,{'Other': 1}
36,vehicle,Other,30917,1,{'Other': 1}
37,back,Other,24286,1,{'Other': 1}
38,co2 extinguisher,Other,31910,1,{'Other': 1}
39,tpu panel,Other,20120,1,{'Other': 1}
40,half,Other,19753,1,{'Other': 1}
41,to smother the flames,Other,18383,1,{'Other': 1}
42,challenger 28may2023 load,Other,20091,1,{'Other': 1}
43,crane walkway,Other,19878,1,{'Other': 1}
44,employees,Other,31548,1,{'Other': 1}
45,workstation,Other,418,2,{'Other': 2}
46,employee,Other,420,2,{'Other': 2}
47,cardboard box,Other,27403,1,{'Other': 1}
48,it,Other,31205,1,{'Other': 1}
49,hse supervisor,Other,14,5,{'Other': 5}
50,technician,Other,32061,1,{'Other': 1}
51,pallet,Other,29977,1,{'Other': 1}
52,one,Other,28909,1,{'Other': 1}
53,forklift,Other,582,2,{'Other': 2}
54,nsa,Other,17192,1,{'Other': 1}
55,static,Other,26097,1,{'Other': 1}
56,- contractor,Other,30492,1,{'Other': 1}
57,something drop,Other,25753,1,{'Other': 1}
58,nut,Other,189,2,{'Other': 2}
59,frame,Other,31472,1,{'Other': 1}
60,grams,Other,23686,1,{'Other': 1}
61,distance,Other,32115,1,{'Other': 1}
62,drops calculator,Other,32196,1,{'Other': 1}
63,this,Other,31601,1,{'Other': 1}
64,medic,Other,714,2,{'Other': 2}
65,eye,Other,30384,1,{'Other': 1}
66,otc pain medication,Other,28821,1,{'Other': 1}
67,2/22/2022 ip,Other,26548,1,{'Other': 1}
68,improvement,Other,30456,1,{'Other': 1}
69,she,Other,29868,1,{'Other': 1}
70,socket,Other,795,2,{'Other': 2}
71,floor port cover,Other,23099,1,{'Other': 1}
72,cover,Other,29413,1,{'Other': 1}
73,chair,Other,27985,1,{'Other': 1}
74,lip,Other,28576,1,{'Other': 1}
75,issue,Other,26806,1,{'Other': 1}
76,crew member,Other,31769,1,{'Other': 1}
77,ankle,Other,31729,1,{'Other': 1}
78,who,Other,26157,1,{'Other': 1}
79,him,Other,30241,1,{'Other': 1}
80,incident,Other,31422,1,{'Other': 1}
81,injury,Other,1277,2,{'Other': 2}
82,potential,Other,30417,1,{'Other': 1}
83,damage,Other,31927,1,{'Other': 1}
84,deck,Other,31833,1,{'Other': 1}
85,process,Other,30528,1,{'Other': 1}
86,hse,Other,3679,2,{'Other': 2}
87,interviews,Other,30750,1,{'Other': 1}
88,observation,Other,29188,1,{'Other': 1}
89,report,Other,25792,1,{'Other': 1}
90,discomfort,Other,29569,1,{'Other': 1}
91,alguns materiais,Other,25805,1,{'Other': 1}
92,palete,Other,26609,1,{'Other': 1}
93,he,Other,23411,1,{'Other': 1}
94,which,Other,23369,1,{'Other': 1}
95,propane tank,Other,25766,1,{'Other': 1}
96,fitting,Other,25180,1,{'Other': 1}
97,damage damage,Other,31326,1,{'Other': 1}
98,area,Other,53,3,{'Other': 3}
99,footprint,Other,23766,1,{'Other': 1}
100,worker,Other,434,2,{'Other': 2}
101,forearm,Other,304,2,{'Other': 2}
102,aid,Other,31724,1,{'Other': 1}
103,lead,Other,30187,1,{'Other': 1}
104,way,Other,24998,1,{'Other': 1}
105,team,Other,28272,1,{'Other': 1}
106,rig,Other,22853,1,{'Other': 1}
107,rig zipper valve,Other,31381,1,{'Other': 1}
108,zipper valve,Other,21372,1,{'Other': 1}
109,valve,Other,114,3,{'Other': 3}
110,slack,Other,26469,1,{'Other': 1}
111,lead tech,Other,30330,1,{'Other': 1}
112,work,Other,30862,1,{'Other': 1}
113,robbers,Other,22883,1,{'Other': 1}
114,glass,Other,25017,1,{'Other': 1}
115,door,Other,30298,1,{'Other': 1}
116,they,Other,29452,1,{'Other': 1}
117,board,Other,30689,1,{'Other': 1}
118,operator,Other,42,2,{'Other': 2}
119,leakage,Other,31750,1,{'Other': 1}
120,05ltres,Other,28515,1,{'Other': 1}
121,water,Other,25945,1,{'Other': 1}
122,fst,Other,27969,1,{'Other': 1}
123,cap,Other,29160,1,{'Other': 1}
124,fire teams,Other,30038,1,{'Other': 1}
125,areas,Other,25653,1,{'Other': 1}
126,fire,Other,32101,1,{'Other': 1}
127,burn,Other,27620,1,{'Other': 1}
128,frequent,Other,23615,1,{'Other': 1}
129,rov team,Other,31,2,{'Other': 2}
130,testing,Other,31300,1,{'Other': 1}
131,crane tech,Other,613,2,{'Other': 2}
132,hose,Other,29887,1,{'Other': 1}
133,inspection,Other,31034,1,{'Other': 1}
134,fluid,Other,30891,1,{'Other': 1}
135,design,Other,27178,1,{'Other': 1}
136,maintenance,Other,31322,1,{'Other': 1}
137,ladder system,Other,24508,1,{'Other': 1}
138,request,Other,24219,1,{'Other': 1}
139,hsea,Other,2549,2,{'Other': 2}
140,captain,Other,27886,1,{'Other': 1}
141,fact finding,Other,23307,1,{'Other': 1}
142,witness account form,Other,18121,1,{'Other': 1}
143,vessel,Other,30827,1,{'Other': 1}
144,time,Other,22497,1,{'Other': 1}
145,increase,Other,29110,1,{'Other': 1}
146,site medic,Other,191,2,{'Other': 2}
147,/wash,Other,30289,1,{'Other': 1}
148,eye drop,Other,24049,1,{'Other': 1}
149,incident description vessel,Other,25997,1,{'Other': 1}
150,transfer,Other,29968,1,{'Other': 1}
151,uta,Other,26665,1,{'Other': 1}
152,to stbside,Other,28879,1,{'Other': 1}
153,piso,Other,24524,1,{'Other': 1}
154,tapete facilitando queda,Other,30599,1,{'Other': 1}
155,no houve o colaborador,Other,18077,1,{'Other': 1}
156,desempenhando suas funes,Other,26231,1,{'Other': 1}
157,carpet,Other,18981,1,{'Other': 1}
158,fall,Other,29787,1,{'Other': 1}
159,cut,Other,31143,1,{'Other': 1}
160,to perform his duties,Other,29026,1,{'Other': 1}
161,apos sair,Other,16406,1,{'Other': 1}
162,banho,Other,17435,1,{'Other': 1}
163,°,Other,26590,1,{'Other': 1}
164,rigging team,Other,27530,1,{'Other': 1}
165,haul rigging,Other,26562,1,{'Other': 1}
166,head clamp,Other,31839,1,{'Other': 1}
167,position,Other,29740,1,{'Other': 1}
168,rigging hit did,Other,25095,1,{'Other': 1}
169,degrees,Other,28201,1,{'Other': 1}
170,line,Other,31928,1,{'Other': 1}
171,turno diurno,Other,29789,1,{'Other': 1}
172,head,Other,29660,1,{'Other': 1}
173,da jfl,Other,22395,1,{'Other': 1}
174,estava prendendo,Other,26458,1,{'Other': 1}
175,pequeno dano,Other,25721,1,{'Other': 1}
176,actions,Other,16241,1,{'Other': 1}
